Price ($),Carat,Cut,Color,Clarity,Price/Ct
990,0.73,Ideal,D,VVS2,1356
900,0.76,Very Good,E,VVS2,1184
850,0.76,Very Good,F,VS1,1118
870,0.75,Super Ideal,E,VS1,1160
680,0.74,Super Ideal,H,VS2,918
760,0.73,Ideal,G,VS1,1041
760,0.77,Very Good,H,VVS2,987
770,0.72,Ideal,G,VVS2,1069
810,0.7,Ideal,E,VS1,1157
810,0.71,Very Good,F,VVS2,1140
830,0.71,Very Good,E,VS1,1169
840,0.7,Super Ideal,F,VVS2,1200
840,0.74,Super Ideal,G,VVS2,1135
840,0.7,Ideal,E,VS1,1200
850,0.72,Ideal,E,VS1,1180
850,0.7,Super Ideal,E,VVS2,1214
850,0.72,Super Ideal,E,VS1,1180
860,0.7,Super Ideal,E,VVS2,1228
870,0.71,Ideal,E,VVS2,1225
870,0.74,Super Ideal,F,VS1,1175
880,0.73,Super Ideal,E,VVS2,1205
880,0.74,Ideal,E,VS1,1189
890,0.73,Ideal,E,VVS2,1219
890,0.7,Ideal,E,VS1,1271
900,0.77,Very Good,E,VS1,1168
900,0.7,Ideal,D,VS1,1285
910,0.79,Super Ideal,E,VS2,1151
920,0.79,Super Ideal,F,VS1,1164
930,0.78,Very Good,E,VVS2,1192
940,0.71,Super Ideal,D,VS1,1323
970,0.73,Super Ideal,D,VS1,1328
970,0.73,Ideal,D,VS1,1328
970,0.72,Ideal,D,VS1,1347
990,0.76,Super Ideal,F,VVS2,1302
1000,0.7,Ideal,D,VVS2,1428
1000,0.71,Ideal,E,VVS1,1408
1010,0.73,Ideal,D,VVS2,1383
1020,0.73,Super Ideal,E,VVS1,1397
1030,0.79,Super Ideal,E,VS1,1303
1070,0.71,Ideal,E,VVS1,1507
1080,0.72,Super Ideal,E,VVS1,1500
1080,0.72,Ideal,E,VVS1,1500
1130,0.75,Super Ideal,E,VVS1,1506
1150,0.7,Super Ideal,D,VVS1,1642
1160,0.73,Super Ideal,D,VVS1,1589
1290,0.74,Ideal,D,IF,1743
