Price ($),Carat,Cut,Color,Clarity,Price/Ct
1330,0.71,Very Good,I,SI2,1873
2880,0.83,Super Ideal,D,VS1,3469
2650,0.77,Very Good,G,VS1,3441
2460,0.7,Ideal,D,VVS1,3514
2230,0.82,Super Ideal,F,VS1,2719
1750,0.7,Super Ideal,F,VS2,2500
2520,0.87,Ideal,F,VVS2,2896
2190,0.81,Ideal,E,VS1,2703
960,0.7,Good,I,SI1,1371
1130,0.71,Ideal,H,SI1,1591
1270,0.72,Very Good,H,VS2,1763
1280,0.81,Very Good,G,SI1,1580
1300,0.7,Ideal,F,SI1,1857
1300,0.7,Ideal,E,SI1,1857
1310,0.7,Ideal,I,VS1,1871
1330,0.7,Ideal,F,VS2,1900
1340,0.7,Good,F,VS2,1914
1350,0.7,Good,H,SI2,1928
1350,0.7,Very Good,I,SI2,1928
1370,0.7,Very Good,H,SI2,1957
1380,0.7,Ideal,I,SI1,1971
1420,0.71,Ideal,H,SI2,2000
1450,0.7,Super Ideal,G,VS2,2071
1460,0.7,Ideal,F,SI2,2085
1480,0.7,Ideal,G,VS1,2114
1480,0.7,Ideal,J,SI1,2114
1490,0.7,Super Ideal,F,SI1,2128
1510,0.71,Very Good,H,SI1,2126
1520,0.71,Ideal,G,SI2,2140
1520,0.81,Very Good,G,SI1,1876
1530,0.7,Good,E,VS2,2185
1530,0.8,Super Ideal,E,SI2,1912
1540,0.7,Super Ideal,G,SI1,2200
1540,0.7,Very Good,F,SI2,2200
1560,0.7,Good,I,IF,2228
1560,0.7,Super Ideal,I,VVS1,2228
1560,0.7,Super Ideal,E,SI1,2228
1570,0.72,Ideal,E,VS2,2180
1580,0.75,Ideal,J,VVS1,2106
1600,0.8,Ideal,H,VVS2,2000
1600,0.7,Very Good,D,SI1,2285
1610,0.71,Ideal,J,VS2,2267
1610,0.71,Super Ideal,E,VS2,2267
1620,0.7,Ideal,H,VS1,2314
1630,0.71,Ideal,J,VS2,2295
1630,0.7,Super Ideal,F,SI1,2328
1640,0.76,Very Good,G,SI2,2157
1650,0.7,Very Good,E,VS2,2357
1680,0.71,Very Good,I,VVS2,2366
1690,0.7,Super Ideal,H,VS2,2414
1700,0.7,Very Good,F,VS1,2428
1700,0.76,Super Ideal,I,VS1,2236
1710,0.71,Super Ideal,I,VVS1,2408
1710,0.71,Super Ideal,D,SI1,2408
1710,0.7,Good,F,VS1,2442
1720,0.7,Ideal,H,VS1,2457
1720,0.7,Very Good,G,VVS2,2457
1730,0.7,Ideal,E,SI2,2471
1740,0.7,Ideal,G,VS1,2485
1790,0.7,Super Ideal,G,VS1,2557
1790,0.7,Ideal,H,VVS2,2557
1800,0.71,Good,E,VS1,2535
1800,0.71,Ideal,J,VS1,2535
1800,0.7,Ideal,J,VVS2,2571
1810,0.7,Super Ideal,D,VS2,2585
1810,0.86,Ideal,I,VS2,2104
1810,0.7,Super Ideal,H,VS1,2585
1820,0.7,Ideal,G,VVS1,2600
1820,0.7,Ideal,I,VS2,2600
1830,0.7,Super Ideal,G,VVS2,2614
1830,0.7,Very Good,D,VS1,2614
1840,0.8,Ideal,E,SI1,2300
1840,0.8,Super Ideal,I,VVS2,2300
1860,0.7,Good,I,VS1,2657
1860,0.7,Ideal,G,VS1,2657
1860,0.7,Ideal,E,VS2,2657
1870,0.7,Ideal,F,VS2,2671
1870,0.7,Ideal,I,VS2,2671
1870,0.7,Ideal,J,VVS1,2671
1880,0.72,Very Good,I,VS2,2611
1880,0.72,Ideal,I,VS2,2611
1880,0.8,Ideal,I,VVS1,2350
1880,0.75,Super Ideal,H,VS2,2506
1910,0.8,Ideal,E,VS2,2387
1910,0.8,Ideal,H,VS2,2387
1910,0.7,Very Good,E,VVS2,2728
1910,0.7,Ideal,I,VS1,2728
1920,0.7,Good,E,VVS1,2742
1920,0.7,Very Good,E,VVS2,2742
1930,0.7,Very Good,E,VVS2,2757
1940,0.83,Ideal,J,VVS2,2337
1950,0.7,Ideal,E,VS2,2785
1950,0.7,Ideal,F,VVS1,2785
1950,0.73,Super Ideal,E,VS2,2671
1970,0.83,Ideal,H,VS1,2373
1970,0.76,Super Ideal,F,VS2,2592
1970,0.7,Ideal,F,VS1,2814
1970,0.71,Very Good,E,VS2,2774
1980,0.7,Ideal,E,VS2,2828
1980,0.81,Super Ideal,F,VS2,2444
1990,0.7,Super Ideal,F,VS2,2842
1990,0.7,Ideal,I,VS1,2842
2000,0.8,Super Ideal,H,VVS1,2500
2000,0.7,Super Ideal,F,VVS2,2857
