Price ($),Carat,Cut,Color,Clarity,Price/Ct
1440,0.71,Super Ideal,D,VVS2,2028
800,0.8,Ideal,I,SI2,1000
1850,0.71,Ideal,D,VS1,2605
1090,0.7,Ideal,G,VS1,1557
2260,0.8,Very Good,D,VVS1,2825
1690,0.7,Super Ideal,F,VS1,2414
1060,0.81,Super Ideal,J,SI2,1308
1530,0.8,Super Ideal,F,VS2,1912
730,0.73,Super Ideal,I,SI1,1000
810,0.7,Very Good,I,VS2,1157
810,0.71,Good,J,VS1,1140
810,0.7,Ideal,G,SI2,1157
810,0.7,Ideal,H,SI2,1157
810,0.7,Very Good,I,SI1,1157
810,0.7,Ideal,I,SI2,1157
820,0.7,Ideal,H,SI1,1171
830,0.8,Very Good,H,SI2,1037
840,0.8,Very Good,H,SI2,1050
850,0.71,Super Ideal,G,SI2,1197
850,0.8,Very Good,H,SI2,1062
870,0.8,Ideal,F,SI2,1087
880,0.7,Ideal,E,SI1,1257
880,0.7,Ideal,I,VS1,1257
890,0.72,Ideal,H,SI2,1236
890,0.7,Very Good,F,SI1,1271
890,0.8,Very Good,H,SI2,1112
900,0.72,Ideal,F,SI2,1250
900,0.7,Super Ideal,G,SI2,1285
900,0.8,Ideal,I,SI2,1125
910,0.8,Super Ideal,H,SI2,1137
930,0.72,Super Ideal,I,SI1,1291
940,0.7,Super Ideal,J,IF,1342
940,0.7,Super Ideal,G,SI2,1342
950,0.71,Very Good,I,SI1,1338
950,0.7,Ideal,E,SI2,1357
970,0.81,Ideal,I,SI2,1197
970,0.71,Super Ideal,F,SI2,1366
980,0.7,Ideal,F,SI1,1400
980,0.7,Super Ideal,F,SI2,1400
980,0.7,Super Ideal,I,VVS1,1400
990,0.8,Ideal,I,SI1,1237
1000,0.8,Ideal,J,VVS2,1250
1000,0.8,Ideal,G,SI2,1250
1010,0.72,Super Ideal,G,SI1,1402
1030,0.8,Super Ideal,G,SI2,1287
1030,0.7,Super Ideal,H,SI1,1471
1040,0.7,Super Ideal,I,SI1,1485
1040,0.8,Super Ideal,G,SI2,1300
