Price ($),Carat,Cut,Color,Clarity,Price/Ct
1020,0.7,Super Ideal,D,VVS1,1457
1020,0.7,Ideal,D,VVS1,1457
1040,0.71,Super Ideal,D,VVS1,1464
1220,0.78,Ideal,D,VVS1,1564
1250,0.83,Ideal,D,VVS1,1506
1170,0.8,Super Ideal,D,VVS1,1462
1210,0.83,Super Ideal,D,VVS1,1457
1200,0.82,Ideal,D,VVS1,1463
970,0.7,Ideal,D,VVS1,1385
970,0.7,Super Ideal,D,VVS1,1385
970,0.7,Super Ideal,D,VVS1,1385
970,0.7,Super Ideal,D,VVS1,1385
970,0.7,Ideal,D,VVS1,1385
980,0.71,Super Ideal,D,VVS1,1380
980,0.71,Super Ideal,D,VVS1,1380
980,0.71,Ideal,D,VVS1,1380
990,0.7,Super Ideal,D,VVS1,1414
990,0.7,Super Ideal,D,VVS1,1414
990,0.72,Super Ideal,D,VVS1,1375
990,0.7,Super Ideal,D,VVS1,1414
990,0.72,Super Ideal,D,VVS1,1375
990,0.72,Super Ideal,D,VVS1,1375
990,0.72,Ideal,D,VVS1,1375
1000,0.71,Super Ideal,D,VVS1,1408
1010,0.7,Ideal,D,VVS1,1442
1010,0.73,Super Ideal,D,VVS1,1383
1010,0.73,Super Ideal,D,VVS1,1383
1020,0.7,Ideal,D,VVS1,1457
1020,0.7,Ideal,D,VVS1,1457
1020,0.7,Super Ideal,D,VVS1,1457
1020,0.73,Super Ideal,D,VVS1,1397
1020,0.74,Super Ideal,D,VVS1,1378
1020,0.7,Ideal,D,VVS1,1457
1020,0.7,Super Ideal,D,VVS1,1457
1020,0.7,Ideal,D,VVS1,1457
1020,0.7,Ideal,D,VVS1,1457
1020,0.7,Ideal,D,VVS1,1457
1020,0.7,Super Ideal,D,VVS1,1457
1020,0.7,Super Ideal,D,VVS1,1457
1020,0.71,Ideal,D,VVS1,1436
1020,0.7,Super Ideal,D,VVS1,1457
1030,0.73,Ideal,D,VVS1,1410
1030,0.74,Super Ideal,D,VVS1,1391
1040,0.7,Ideal,D,VVS1,1485
1040,0.71,Ideal,D,VVS1,1464
1040,0.71,Super Ideal,D,VVS1,1464
1040,0.71,Super Ideal,D,VVS1,1464
1040,0.71,Ideal,D,VVS1,1464
1040,0.71,Super Ideal,D,VVS1,1464
1040,0.71,Super Ideal,D,VVS1,1464
1040,0.7,Super Ideal,D,VVS1,1485
1040,0.7,Super Ideal,D,VVS1,1485
1040,0.71,Ideal,D,VVS1,1464
1050,0.72,Super Ideal,D,VVS1,1458
