Price ($),Carat,Cut,Color,Clarity,Price/Ct
2320,0.7,Super Ideal,D,VVS1,3314
2840,0.7,Ideal,D,VVS1,4057
2490,0.8,Ideal,D,VVS1,3112
2270,0.71,Ideal,D,VVS1,3197
3560,0.7,Ideal,D,VVS1,5085
3630,0.81,Super Ideal,D,VVS1,4481
2350,0.82,Ideal,D,VVS1,2865
3900,0.84,Ideal,D,VVS1,4642
1730,0.71,Ideal,D,VVS1,2436
1810,0.71,Super Ideal,D,VVS1,2549
1870,0.7,Ideal,D,VVS1,2671
1900,0.71,Ideal,D,VVS1,2676
2040,0.81,Ideal,D,VVS1,2518
2080,0.7,Super Ideal,D,VVS1,2971
2140,0.72,Ideal,D,VVS1,2972
2190,0.78,Ideal,D,VVS1,2807
2210,0.81,Super Ideal,D,VVS1,2728
2230,0.74,Ideal,D,VVS1,3013
2230,0.71,Super Ideal,D,VVS1,3140
2250,0.73,Ideal,D,VVS1,3082
2260,0.7,Ideal,D,VVS1,3228
2260,0.7,Ideal,D,VVS1,3228
2270,0.81,Ideal,D,VVS1,2802
2280,0.7,Ideal,D,VVS1,3257
2300,0.7,Ideal,D,VVS1,3285
2360,0.7,Ideal,D,VVS1,3371
2390,0.7,Ideal,D,VVS1,3414
2410,0.7,Ideal,D,VVS1,3442
2440,0.72,Ideal,D,VVS1,3388
2480,0.8,Ideal,D,VVS1,3100
2500,0.7,Ideal,D,VVS1,3571
2550,0.7,Ideal,D,VVS1,3642
2550,0.7,Ideal,D,VVS1,3642
2560,0.71,Ideal,D,VVS1,3605
2580,0.7,Ideal,D,VVS1,3685
2590,0.7,Ideal,D,VVS1,3700
2620,0.72,Super Ideal,D,VVS1,3638
2650,0.71,Ideal,D,VVS1,3732
2680,0.71,Ideal,D,VVS1,3774
2700,0.7,Ideal,D,VVS1,3857
2700,0.7,Super Ideal,D,VVS1,3857
2720,0.81,Super Ideal,D,VVS1,3358
2730,0.7,Super Ideal,D,VVS1,3900
2750,0.7,Ideal,D,VVS1,3928
2760,0.7,Super Ideal,D,VVS1,3942
2770,0.71,Super Ideal,D,VVS1,3901
2770,0.7,Super Ideal,D,VVS1,3957
2780,0.71,Ideal,D,VVS1,3915
2790,0.7,Ideal,D,VVS1,3985
2790,0.7,Ideal,D,VVS1,3985
2810,0.7,Ideal,D,VVS1,4014
2810,0.72,Ideal,D,VVS1,3902
2850,0.7,Ideal,D,VVS1,4071
2850,0.7,Ideal,D,VVS1,4071
2850,0.82,Ideal,D,VVS1,3475
2850,0.71,Super Ideal,D,VVS1,4014
2870,0.72,Ideal,D,VVS1,3986
2930,0.76,Super Ideal,D,VVS1,3855
2950,0.7,Ideal,D,VVS1,4214
2950,0.7,Ideal,D,VVS1,4214
2960,0.72,Super Ideal,D,VVS1,4111
3020,0.7,Super Ideal,D,VVS1,4314
3030,0.71,Ideal,D,VVS1,4267
3060,0.71,Ideal,D,VVS1,4309
3160,0.84,Ideal,D,VVS1,3761
3220,0.71,Ideal,D,VVS1,4535
3230,0.71,Ideal,D,VVS1,4549
3230,0.76,Ideal,D,VVS1,4250
3240,0.72,Ideal,D,VVS1,4500
3300,0.72,Ideal,D,VVS1,4583
3330,0.7,Ideal,D,VVS1,4757
3350,0.71,Ideal,D,VVS1,4718
3390,0.7,Ideal,D,VVS1,4842
3430,0.7,Super Ideal,D,VVS1,4900
3430,0.74,Ideal,D,VVS1,4635
3450,0.7,Ideal,D,VVS1,4928
3480,0.7,Ideal,D,VVS1,4971
3480,0.76,Ideal,D,VVS1,4578
3520,0.8,Super Ideal,D,VVS1,4400
3570,0.75,Super Ideal,D,VVS1,4760
3600,0.82,Super Ideal,D,VVS1,4390
3650,0.7,Ideal,D,VVS1,5214
3680,0.7,Super Ideal,D,VVS1,5257
3720,0.71,Ideal,D,VVS1,5239
3740,0.71,Ideal,D,VVS1,5267
3750,0.8,Super Ideal,D,VVS1,4687
3750,0.72,Ideal,D,VVS1,5208
3780,0.82,Ideal,D,VVS1,4609
3810,0.81,Ideal,D,VVS1,4703
3950,0.81,Super Ideal,D,VVS1,4876
3980,0.8,Ideal,D,VVS1,4975
4000,0.8,Ideal,D,VVS1,5000
4030,0.83,Ideal,D,VVS1,4855
4290,0.7,Ideal,D,VVS1,6128
4290,0.75,Ideal,D,VVS1,5720
4610,0.7,Ideal,D,VVS1,6585
5150,0.81,Super Ideal,D,VVS1,6358
