Price ($),Carat,Cut,Color,Clarity,Price/Ct
1500,0.71,Ideal,D,VVS2,2112
1220,0.74,Super Ideal,I,SI2,1648
1710,0.73,Ideal,D,VS1,2342
1850,0.7,Ideal,G,VS1,2642
3250,0.82,Super Ideal,D,VVS1,3963
2230,0.81,Ideal,F,VS1,2753
970,0.8,Ideal,J,SI2,1212
1790,0.8,Ideal,F,VS2,2237
780,0.7,Ideal,D,SI1,1114
820,0.7,Very Good,F,SI2,1171
850,0.7,Ideal,E,SI2,1214
860,0.7,Ideal,H,SI2,1228
860,0.81,Super Ideal,H,SI2,1061
860,0.7,Ideal,D,SI2,1228
860,0.7,Ideal,F,SI2,1228
870,0.7,Ideal,H,SI2,1242
870,0.7,Ideal,E,SI2,1242
880,0.7,Super Ideal,E,SI2,1257
900,0.71,Very Good,E,SI2,1267
930,0.72,Ideal,J,SI1,1291
930,0.8,Ideal,H,SI2,1162
950,0.7,Super Ideal,F,SI2,1357
980,0.7,Ideal,F,SI1,1400
990,0.72,Super Ideal,J,VS2,1375
990,0.7,Ideal,I,SI1,1414
1000,0.71,Super Ideal,H,SI1,1408
1000,0.7,Super Ideal,H,SI2,1428
1000,0.71,Ideal,J,VS1,1408
1020,0.7,Ideal,H,SI1,1457
1020,0.72,Ideal,J,VS2,1416
1020,0.7,Ideal,F,SI1,1457
1020,0.7,Super Ideal,E,SI2,1457
1030,0.7,Ideal,F,SI1,1471
1040,0.8,Ideal,G,SI2,1300
1040,0.8,Super Ideal,I,SI2,1300
1040,0.7,Ideal,G,SI1,1485
1040,0.7,Super Ideal,E,SI1,1485
1050,0.71,Super Ideal,F,SI2,1478
1050,0.71,Ideal,H,SI2,1478
1050,0.8,Ideal,G,SI2,1312
1050,0.7,Ideal,I,SI1,1500
1060,0.7,Ideal,G,SI1,1514
1060,0.7,Ideal,E,SI1,1514
1060,0.7,Ideal,G,SI1,1514
1070,0.7,Ideal,E,SI1,1528
1080,0.81,Ideal,F,SI2,1333
1080,0.7,Ideal,G,SI1,1542
1080,0.7,Ideal,E,SI1,1542
1090,0.7,Ideal,G,SI1,1557
1090,0.8,Ideal,F,SI1,1362
1090,0.7,Super Ideal,G,SI2,1557
1090,0.81,Ideal,J,SI2,1345
1100,0.8,Very Good,H,SI2,1375
1100,0.7,Ideal,F,SI1,1571
1110,0.7,Ideal,G,SI1,1585
1110,0.7,Very Good,D,SI1,1585
1110,0.71,Ideal,G,SI2,1563
1110,0.7,Ideal,G,SI1,1585
1110,0.7,Very Good,I,SI1,1585
1110,0.7,Super Ideal,J,SI1,1585
1120,0.72,Very Good,J,SI2,1555
1120,0.7,Super Ideal,H,SI1,1600
1130,0.7,Super Ideal,G,SI1,1614
1130,0.7,Very Good,G,SI2,1614
1130,0.7,Very Good,J,SI2,1614
1130,0.7,Ideal,I,SI1,1614
1130,0.7,Super Ideal,E,SI2,1614
1130,0.7,Ideal,G,SI1,1614
1130,0.7,Good,G,SI2,1614
1130,0.7,Very Good,H,SI1,1614
1130,0.71,Ideal,E,SI2,1591
1130,0.7,Super Ideal,G,SI1,1614
1140,0.71,Very Good,G,SI1,1605
1150,0.7,Ideal,D,SI1,1642
1150,0.7,Good,I,SI1,1642
1150,0.82,Super Ideal,G,SI2,1402
1160,0.8,Good,F,SI1,1450
1160,0.7,Very Good,F,SI1,1657
1160,0.73,Ideal,I,SI1,1589
1160,0.7,Ideal,F,SI1,1657
1160,0.72,Ideal,J,SI1,1611
1170,0.7,Ideal,F,SI1,1671
1170,0.72,Ideal,I,SI1,1625
1170,0.83,Super Ideal,J,VS1,1409
1180,0.7,Ideal,H,SI1,1685
1180,0.7,Ideal,J,SI1,1685
1190,0.7,Ideal,E,SI1,1700
1190,0.71,Very Good,D,SI1,1676
1190,0.71,Super Ideal,F,SI1,1676
1190,0.7,Ideal,F,SI1,1700
1190,0.71,Ideal,G,SI1,1676
1200,0.7,Ideal,G,SI1,1714
