Price ($),Carat,Cut,Color,Clarity,Price/Ct
2420,0.81,Ideal,D,VVS2,2987
3130,0.8,Very Good,D,VS1,3912
2070,0.7,Ideal,G,VS1,2957
3310,0.8,Ideal,F,VS1,4137
1060,0.7,Ideal,J,SI2,1514
1990,0.7,Ideal,F,VS2,2842
3220,0.71,Ideal,F,VVS2,4535
2700,0.8,Ideal,E,VS1,3375
1050,0.7,Ideal,H,SI1,1500
1170,0.7,Very Good,I,SI1,1671
1180,0.71,Ideal,G,SI1,1661
1190,0.7,Ideal,G,SI1,1700
1190,0.8,Very Good,H,SI1,1487
1200,0.7,Ideal,F,SI1,1714
1200,0.7,Ideal,G,SI1,1714
1200,0.7,Ideal,H,SI1,1714
1200,0.7,Ideal,G,SI1,1714
1210,0.7,Ideal,F,SI1,1728
1220,0.76,Very Good,J,SI2,1605
1240,0.8,Ideal,F,SI2,1550
1240,0.7,Ideal,J,VS2,1771
1270,0.71,Very Good,F,SI2,1788
1280,0.7,Ideal,E,SI1,1828
1290,0.81,Good,I,SI1,1592
1330,0.84,Super Ideal,I,SI1,1583
1330,0.75,Ideal,J,SI1,1773
1360,0.7,Good,I,SI1,1942
1360,0.72,Very Good,I,VS2,1888
1370,0.7,Ideal,G,SI1,1957
1370,0.7,Ideal,G,SI1,1957
1380,0.8,Ideal,F,SI1,1725
1380,0.71,Super Ideal,H,VS2,1943
1390,0.7,Ideal,H,VS2,1985
1390,0.72,Ideal,H,SI1,1930
1400,0.7,Good,E,SI2,2000
1400,0.7,Super Ideal,D,SI1,2000
1420,0.7,Ideal,J,VS1,2028
1420,0.75,Super Ideal,G,SI2,1893
1420,0.71,Ideal,H,SI2,2000
1440,0.7,Very Good,I,SI1,2057
1440,0.7,Ideal,G,SI2,2057
1460,0.7,Very Good,H,VS2,2085
1500,0.7,Good,D,SI2,2142
1510,0.8,Ideal,E,SI1,1887
1520,0.8,Very Good,H,VS2,1900
1530,0.8,Ideal,E,SI1,1912
1540,0.7,Very Good,J,VVS2,2200
1540,0.7,Very Good,I,VS2,2200
1560,0.7,Ideal,F,SI2,2228
1570,0.7,Ideal,G,SI1,2242
1580,0.84,Super Ideal,H,SI1,1880
1580,0.7,Ideal,E,SI1,2257
1590,0.7,Very Good,J,VVS1,2271
1630,0.7,Ideal,G,SI1,2328
1640,0.82,Super Ideal,G,SI1,2000
1650,0.8,Ideal,G,SI2,2062
1670,0.8,Ideal,I,SI1,2087
1680,0.7,Very Good,I,VS1,2400
1680,0.8,Ideal,H,VS2,2100
1680,0.73,Super Ideal,H,SI1,2301
1690,0.7,Ideal,H,SI1,2414
1700,0.72,Very Good,H,VS2,2361
1710,0.81,Ideal,I,SI1,2111
1710,0.71,Ideal,E,SI1,2408
1720,0.71,Very Good,E,VS2,2422
1720,0.85,Ideal,F,SI2,2023
1720,0.71,Ideal,J,VVS2,2422
1730,0.7,Ideal,E,SI1,2471
1750,0.8,Good,H,SI2,2187
1750,0.8,Super Ideal,F,SI2,2187
1750,0.73,Ideal,H,VS1,2397
1750,0.75,Very Good,J,VVS1,2333
1760,0.7,Ideal,D,VS2,2514
1760,0.7,Super Ideal,I,VS2,2514
1760,0.7,Ideal,I,VS2,2514
1770,0.7,Ideal,D,SI1,2528
1770,0.7,Ideal,J,VVS1,2528
1770,0.7,Ideal,I,SI1,2528
1770,0.78,Very Good,G,SI2,2269
1770,0.7,Ideal,E,VS2,2528
1780,0.7,Ideal,F,SI1,2542
1780,0.7,Ideal,E,SI1,2542
1790,0.7,Ideal,J,VS2,2557
1790,0.8,Ideal,H,SI1,2237
1790,0.8,Very Good,G,VS2,2237
1810,0.76,Ideal,F,VS2,2381
1810,0.71,Ideal,G,SI1,2549
1810,0.7,Ideal,H,SI1,2585
1810,0.82,Ideal,J,VVS1,2207
1810,0.83,Very Good,H,SI2,2180
1820,0.8,Good,F,SI2,2275
1820,0.7,Ideal,J,IF,2600
1820,0.7,Super Ideal,J,IF,2600
1830,0.75,Super Ideal,F,SI1,2440
1840,0.8,Ideal,J,VS1,2300
1840,0.7,Ideal,H,VS1,2628
1860,0.81,Super Ideal,I,VS2,2296
1870,0.82,Ideal,D,VS1,2280
1880,0.81,Ideal,H,SI1,2320
1880,0.8,Ideal,H,VS1,2350
1890,0.7,Ideal,E,SI1,2700
1890,0.8,Ideal,E,VS2,2362
1890,0.82,Super Ideal,G,SI1,2304
1890,0.86,Good,H,SI2,2197
1900,0.81,Ideal,G,SI2,2345
1900,0.71,Super Ideal,H,VVS1,2676
1920,0.7,Ideal,E,VS1,2742
1920,0.72,Ideal,J,VS1,2666
1920,0.8,Very Good,H,VS2,2400
1930,0.7,Good,D,VS1,2757
1940,0.71,Ideal,G,IF,2732
1940,0.71,Ideal,G,VS2,2732
1950,0.7,Ideal,D,VS1,2785
1950,0.8,Ideal,E,SI2,2437
1970,0.81,Ideal,F,SI2,2432
1970,0.84,Very Good,H,VS1,2345
1970,0.7,Very Good,E,VS2,2814
1980,0.7,Ideal,D,VS2,2828
1980,0.7,Ideal,G,VS2,2828
1990,0.72,Ideal,E,VS2,2763
1990,0.8,Super Ideal,D,SI1,2487
2000,0.75,Ideal,I,VS1,2666
2010,0.81,Ideal,I,VS1,2481
2010,0.8,Ideal,G,SI1,2512
2030,0.8,Super Ideal,F,SI1,2537
2030,0.73,Ideal,H,VVS2,2780
2040,0.7,Very Good,F,VS2,2914
2050,0.77,Super Ideal,J,VVS1,2662
2050,0.77,Ideal,G,VS2,2662
2060,0.71,Very Good,D,VS1,2901
2060,0.71,Ideal,E,VVS2,2901
2060,0.72,Ideal,D,VS1,2861
2060,0.8,Very Good,D,VS2,2575
2070,0.7,Very Good,G,VS1,2957
2070,0.7,Very Good,H,VS1,2957
2080,0.75,Super Ideal,I,VS1,2773
2100,0.8,Ideal,G,SI1,2625
2110,0.75,Super Ideal,G,VS2,2813
2120,0.71,Ideal,J,VVS1,2985
2130,0.84,Ideal,H,VS2,2535
2130,0.7,Ideal,G,VS1,3042
2140,0.7,Ideal,I,VVS2,3057
2150,0.7,Ideal,G,VS1,3071
2150,0.8,Ideal,E,SI1,2687
2160,0.7,Ideal,G,VS2,3085
2160,0.72,Ideal,I,IF,3000
2160,0.82,Ideal,D,VS2,2634
2160,0.71,Ideal,H,SI1,3042
2170,0.76,Super Ideal,F,SI1,2855
2170,0.75,Super Ideal,J,VVS2,2893
2180,0.73,Very Good,J,VVS1,2986
2180,0.75,Ideal,J,VVS1,2906
2180,0.8,Ideal,H,VS2,2725
2210,0.72,Super Ideal,D,VS1,3069
2210,0.7,Very Good,I,VS2,3157
2220,0.7,Ideal,D,VS2,3171
2250,0.7,Super Ideal,E,VS1,3214
2270,0.85,Super Ideal,I,VS2,2670
2280,0.84,Super Ideal,E,SI1,2714
2290,0.82,Ideal,J,VVS2,2792
2300,0.8,Ideal,H,VVS1,2875
2310,0.71,Ideal,H,VS1,3253
2310,0.7,Ideal,I,VVS2,3300
2320,0.72,Ideal,H,VS2,3222
2350,0.8,Ideal,J,VVS1,2937
2360,0.82,Super Ideal,G,SI1,2878
2370,0.83,Ideal,H,VS1,2855
2380,0.82,Very Good,J,VVS1,2902
2390,0.7,Ideal,I,VVS1,3414
2400,0.73,Ideal,G,VS2,3287
2410,0.71,Super Ideal,F,VS1,3394
2420,0.75,Ideal,I,VVS1,3226
2440,0.7,Ideal,F,SI1,3485
2440,0.76,Ideal,I,VVS2,3210
2460,0.73,Ideal,F,VS1,3369
2470,0.84,Ideal,I,VVS2,2940
2470,0.8,Super Ideal,D,VS1,3087
2480,0.72,Ideal,G,VVS1,3444
2480,0.8,Ideal,F,VS2,3100
2490,0.71,Super Ideal,G,VS2,3507
2510,0.75,Ideal,I,VS2,3346
2510,0.71,Ideal,F,VS1,3535
2520,0.73,Very Good,D,VS2,3452
2530,0.71,Very Good,G,VVS2,3563
2540,0.73,Very Good,G,VS1,3479
2540,0.72,Very Good,I,VVS2,3527
2560,0.75,Ideal,G,VS2,3413
2570,0.73,Super Ideal,F,VS2,3520
2590,0.8,Very Good,F,VS1,3237
2590,0.7,Ideal,F,VS1,3700
2600,0.75,Ideal,E,VS2,3466
2610,0.7,Ideal,H,VVS2,3728
2620,0.82,Very Good,J,IF,3195
2640,0.76,Super Ideal,I,IF,3473
2640,0.8,Ideal,F,VS2,3300
2640,0.82,Ideal,I,VS1,3219
2660,0.83,Ideal,F,VS2,3204
2670,0.71,Ideal,E,VS1,3760
2670,0.7,Ideal,F,VS2,3814
2690,0.76,Ideal,E,VS1,3539
2700,0.7,Ideal,H,VVS1,3857
2710,0.77,Ideal,I,IF,3519
2720,0.77,Super Ideal,I,IF,3532
