Price ($),Carat,Cut,Color,Clarity,Price/Ct
1110,0.82,Super Ideal,D,VVS2,1353
950,0.8,Super Ideal,E,VVS2,1187
890,0.8,Super Ideal,F,VS1,1112
870,0.75,Ideal,E,VS1,1160
840,0.74,Super Ideal,F,VVS2,1135
1020,0.8,Super Ideal,D,VS1,1275
1070,0.7,Super Ideal,D,VVS1,1528
770,0.7,Ideal,G,VS1,1100
650,0.7,Super Ideal,G,SI1,928
650,0.7,Super Ideal,G,SI1,928
650,0.7,Super Ideal,H,VS2,928
650,0.7,Super Ideal,G,SI1,928
650,0.7,Super Ideal,G,SI1,928
660,0.7,Super Ideal,F,SI1,942
660,0.7,Ideal,F,SI1,942
660,0.7,Very Good,F,SI1,942
660,0.7,Super Ideal,F,SI1,942
660,0.7,Super Ideal,H,VS1,942
670,0.71,Super Ideal,F,SI1,943
670,0.73,Super Ideal,G,SI1,917
670,0.7,Super Ideal,E,SI1,957
670,0.7,Super Ideal,E,SI1,957
670,0.72,Super Ideal,G,SI1,930
670,0.7,Super Ideal,E,SI1,957
670,0.73,Super Ideal,H,VS2,917
680,0.71,Super Ideal,E,SI1,957
680,0.71,Super Ideal,G,VS2,957
680,0.72,Super Ideal,H,VS1,944
680,0.71,Ideal,E,SI1,957
680,0.7,Super Ideal,H,VVS2,971
690,0.75,Super Ideal,G,SI1,920
690,0.72,Super Ideal,G,VS2,958
690,0.72,Super Ideal,E,SI1,958
690,0.73,Super Ideal,H,VS1,945
690,0.71,Super Ideal,H,VVS2,971
700,0.76,Super Ideal,H,VS2,921
700,0.73,Super Ideal,E,SI1,958
700,0.73,Super Ideal,G,VS2,958
700,0.74,Super Ideal,F,SI1,945
700,0.73,Super Ideal,E,SI1,958
700,0.73,Super Ideal,G,VS2,958
700,0.72,Very Good,H,VVS2,972
710,0.74,Ideal,G,VS2,959
720,0.71,Ideal,F,SI1,1014
720,0.74,Super Ideal,H,VS1,972
720,0.76,Super Ideal,H,VS1,947
720,0.7,Ideal,F,VS2,1028
720,0.7,Ideal,F,VS2,1028
720,0.71,Super Ideal,E,SI1,1014
720,0.7,Super Ideal,F,VS2,1028
730,0.71,Ideal,F,VS2,1028
730,0.76,Ideal,E,SI1,960
730,0.76,Ideal,G,VS2,960
730,0.76,Super Ideal,G,VS2,960
730,0.71,Super Ideal,F,VS2,1028
730,0.7,Ideal,E,SI1,1042
730,0.71,Super Ideal,F,VS2,1028
740,0.8,Ideal,I,VS1,925
740,0.74,Ideal,E,SI1,1000
740,0.72,Ideal,F,VS2,1027
740,0.74,Ideal,E,SI2,1000
750,0.7,Very Good,E,SI1,1071
750,0.73,Super Ideal,G,SI1,1027
750,0.74,Super Ideal,I,VVS1,1013
750,0.78,Super Ideal,G,VS2,961
760,0.7,Ideal,E,VS2,1085
760,0.7,Ideal,E,VS2,1085
760,0.7,Ideal,F,VS2,1085
760,0.7,Ideal,E,VS2,1085
760,0.78,Very Good,H,VVS2,974
760,0.7,Super Ideal,F,VS2,1085
760,0.7,Super Ideal,F,VS2,1085
760,0.7,Very Good,F,VS2,1085
760,0.8,Super Ideal,F,SI1,950
760,0.7,Ideal,E,VS2,1085
760,0.7,Super Ideal,F,VS2,1085
760,0.7,Super Ideal,F,VS2,1085
760,0.7,Super Ideal,F,VS2,1085
760,0.7,Super Ideal,G,VS1,1085
760,0.7,Super Ideal,G,VS1,1085
760,0.7,Ideal,E,VS2,1085
760,0.7,Super Ideal,F,VS2,1085
760,0.7,Super Ideal,G,VS1,1085
760,0.8,Ideal,H,VS1,950
770,0.83,Super Ideal,G,SI1,927
770,0.71,Super Ideal,F,VS2,1084
770,0.7,Ideal,E,VS2,1100
770,0.7,Super Ideal,G,VVS2,1100
770,0.78,Ideal,G,VS2,987
770,0.71,Ideal,E,VS2,1084
770,0.8,Ideal,E,SI1,962
770,0.71,Super Ideal,E,VS2,1084
770,0.71,Super Ideal,E,VS2,1084
770,0.71,Super Ideal,G,VS1,1084
770,0.71,Super Ideal,F,VS2,1084
770,0.73,Super Ideal,G,VS1,1054
770,0.71,Super Ideal,G,VS1,1084
770,0.7,Super Ideal,D,SI1,1100
770,0.7,Super Ideal,D,SI1,1100
770,0.71,Super Ideal,E,VS2,1084
770,0.71,Super Ideal,E,VS2,1084
770,0.71,Ideal,E,VS2,1084
770,0.7,Super Ideal,G,VVS2,1100
770,0.7,Super Ideal,G,VS1,1100
770,0.72,Ideal,F,VS2,1069
770,0.71,Super Ideal,G,VS1,1084
770,0.71,Super Ideal,G,VS1,1084
780,0.71,Ideal,D,SI1,1098
780,0.81,Super Ideal,G,VS2,962
780,0.7,Ideal,F,VS2,1114
780,0.72,Super Ideal,E,VS2,1083
780,0.81,Super Ideal,G,VS2,962
780,0.7,Ideal,D,SI1,1114
780,0.77,Ideal,D,SI2,1012
780,0.7,Good,D,SI1,1114
