Price ($),Carat,Cut,Color,Clarity,Price/Ct
3190,0.7,Ideal,D,VVS2,4557
1530,0.71,Ideal,I,SI2,2154
2790,0.7,Very Good,D,VS1,3985
3190,0.7,Ideal,G,VS1,4557
4170,0.8,Ideal,D,VVS1,5212
3210,0.8,Very Good,F,VS2,4012
3920,0.8,Ideal,F,VVS2,4900
3910,0.8,Ideal,E,VS1,4887
1270,0.7,Ideal,J,SI2,1814
1300,0.7,Very Good,J,SI2,1857
1320,0.7,Very Good,G,SI2,1885
1350,0.7,Ideal,J,VS2,1928
1440,0.72,Very Good,J,SI1,2000
1470,0.7,Ideal,F,SI2,2100
1500,0.7,Ideal,I,SI1,2142
1500,0.7,Very Good,F,SI2,2142
1530,0.8,Very Good,H,SI2,1912
1530,0.82,Ideal,J,SI1,1865
1540,0.73,Very Good,I,SI2,2109
1550,0.71,Ideal,F,SI2,2183
1590,0.7,Fair,H,SI2,2271
1590,0.7,Ideal,D,SI1,2271
1590,0.7,Ideal,I,SI1,2271
1600,0.7,Ideal,H,SI2,2285
1610,0.7,Good,H,SI2,2300
1610,0.7,Ideal,F,SI2,2300
1630,0.7,Very Good,D,SI1,2328
1640,0.73,Fair,J,SI1,2246
1640,0.72,Ideal,E,SI2,2277
1640,0.7,Ideal,J,VS2,2342
1660,0.71,Ideal,D,SI2,2338
1660,0.73,Fair,H,SI2,2273
1670,0.7,Super Ideal,D,SI2,2385
1680,0.7,Very Good,G,SI1,2400
1690,0.7,Ideal,F,SI1,2414
1710,0.7,Very Good,E,SI2,2442
1710,0.8,Very Good,G,SI2,2137
1720,0.7,Ideal,H,SI2,2457
1740,0.7,Ideal,D,SI2,2485
1750,0.7,Ideal,F,SI2,2500
1750,0.77,Good,I,SI2,2272
1760,0.7,Ideal,F,SI1,2514
1760,0.7,Good,I,SI1,2514
1760,0.76,Ideal,H,SI2,2315
1770,0.8,Ideal,E,SI2,2212
1770,0.7,Very Good,F,SI2,2528
1770,0.7,Ideal,D,SI2,2528
1770,0.71,Good,F,SI2,2492
1770,0.7,Ideal,H,SI1,2528
1780,0.7,Ideal,F,SI2,2542
1800,0.72,Ideal,E,SI2,2500
1800,0.7,Very Good,F,SI1,2571
1800,0.71,Ideal,F,SI2,2535
1800,0.71,Ideal,J,IF,2535
1800,0.7,Ideal,J,SI1,2571
1800,0.7,Ideal,G,SI2,2571
1810,0.7,Ideal,D,SI1,2585
1810,0.7,Ideal,H,SI1,2585
1810,0.7,Super Ideal,G,SI1,2585
1810,0.7,Very Good,G,SI1,2585
1820,0.7,Ideal,I,VS2,2600
1820,0.8,Ideal,I,SI2,2275
1820,0.7,Ideal,I,SI1,2600
1830,0.7,Ideal,D,SI2,2614
1840,0.71,Ideal,D,SI2,2591
1840,0.7,Ideal,D,SI1,2628
1850,0.7,Ideal,F,SI1,2642
1850,0.7,Very Good,G,SI1,2642
1860,0.7,Ideal,I,VS2,2657
1860,0.7,Ideal,G,SI1,2657
1860,0.7,Ideal,I,SI1,2657
1870,0.73,Ideal,J,VS1,2561
1870,0.72,Ideal,H,SI1,2597
1880,0.7,Ideal,I,VVS2,2685
1880,0.73,Ideal,G,SI1,2575
1880,0.75,Ideal,G,SI2,2506
1890,0.7,Ideal,F,SI1,2700
1910,0.7,Good,E,SI2,2728
1910,0.7,Ideal,H,SI1,2728
1920,0.7,Good,G,SI1,2742
1930,0.72,Ideal,J,VS2,2680
1940,0.7,Very Good,H,SI1,2771
1950,0.72,Ideal,D,SI1,2708
1950,0.7,Ideal,F,SI2,2785
1950,0.73,Very Good,F,SI2,2671
1960,0.7,Ideal,H,VS2,2800
1970,0.7,Ideal,G,SI1,2814
1970,0.7,Ideal,D,SI1,2814
1970,0.7,Very Good,H,IF,2814
1970,0.71,Very Good,G,SI1,2774
1970,0.7,Super Ideal,F,SI1,2814
1980,0.7,Ideal,G,SI1,2828
2000,0.7,Ideal,E,SI1,2857
