Price ($),Carat,Cut,Color,Clarity,Price/Ct
1070,0.78,Super Ideal,D,VVS2,1371
870,0.72,Super Ideal,E,VVS2,1208
920,0.82,Super Ideal,F,VS1,1121
1020,0.87,Super Ideal,E,VS1,1172
840,0.73,Super Ideal,F,VVS2,1150
1020,0.79,Super Ideal,D,VS1,1291
1190,0.8,Super Ideal,D,VVS1,1487
930,0.89,Super Ideal,G,VS1,1044
640,0.7,Ideal,J,VS1,914
650,0.7,Super Ideal,G,SI1,928
650,0.7,Super Ideal,H,VS2,928
650,0.7,Super Ideal,H,VS2,928
650,0.7,Ideal,H,VS2,928
650,0.7,Super Ideal,G,SI1,928
650,0.7,Very Good,I,VS1,928
650,0.7,Super Ideal,H,SI1,928
650,0.7,Super Ideal,G,SI1,928
660,0.71,Good,F,SI2,929
660,0.71,Ideal,G,SI1,929
660,0.71,Super Ideal,G,SI1,929
660,0.71,Super Ideal,G,SI1,929
660,0.71,Super Ideal,H,VS2,929
670,0.7,Super Ideal,F,SI1,957
670,0.72,Super Ideal,G,SI1,930
670,0.7,Super Ideal,F,SI1,957
670,0.7,Super Ideal,H,VS1,957
680,0.7,Super Ideal,G,VS2,971
680,0.7,Super Ideal,G,VS2,971
680,0.74,Very Good,J,VS1,918
680,0.7,Super Ideal,G,VS2,971
680,0.7,Super Ideal,G,VS2,971
680,0.71,Super Ideal,F,SI1,957
680,0.7,Very Good,I,VS2,971
680,0.7,Ideal,E,SI2,971
680,0.71,Super Ideal,F,SI1,957
680,0.7,Super Ideal,G,VS2,971
690,0.73,Very Good,J,VVS1,945
690,0.72,Super Ideal,H,VS1,958
690,0.75,Super Ideal,H,VS2,920
690,0.7,Super Ideal,H,VVS2,985
690,0.72,Super Ideal,F,SI1,958
690,0.7,Super Ideal,E,SI1,985
690,0.75,Super Ideal,G,SI2,920
690,0.72,Super Ideal,H,VS1,958
690,0.72,Super Ideal,H,VS1,958
690,0.74,Super Ideal,F,SI2,932
690,0.72,Super Ideal,H,VS1,958
690,0.72,Super Ideal,H,VS1,958
700,0.79,Super Ideal,J,SI1,886
700,0.71,Super Ideal,F,SI1,985
700,0.72,Super Ideal,G,VS2,972
700,0.7,Ideal,G,VS2,1000
700,0.71,Super Ideal,H,VVS2,985
700,0.73,Super Ideal,F,SI1,958
700,0.72,Super Ideal,G,VS2,972
700,0.72,Super Ideal,G,VS2,972
700,0.7,Ideal,G,VS2,1000
710,0.71,Super Ideal,I,VVS2,1000
710,0.7,Super Ideal,E,SI1,1014
710,0.76,Super Ideal,G,SI1,934
710,0.73,Super Ideal,G,VS2,972
710,0.76,Super Ideal,G,SI1,934
710,0.76,Super Ideal,G,SI1,934
710,0.7,Super Ideal,E,SI1,1014
710,0.73,Super Ideal,G,VS2,972
710,0.76,Super Ideal,G,SI1,934
710,0.73,Super Ideal,G,VS2,972
710,0.73,Ideal,G,VS2,972
710,0.72,Super Ideal,I,VS1,986
720,0.75,Super Ideal,F,SI1,960
720,0.75,Very Good,F,SI1,960
720,0.71,Good,G,VS2,1014
720,0.72,Ideal,I,VVS2,1000
720,0.75,Super Ideal,I,VS2,960
720,0.74,Super Ideal,G,VS2,972
720,0.75,Super Ideal,F,SI1,960
720,0.7,Super Ideal,G,VS2,1028
720,0.72,Ideal,I,VVS2,1000
730,0.73,Super Ideal,I,VVS2,1000
730,0.78,Super Ideal,G,SI1,935
730,0.7,Super Ideal,G,VS1,1042
730,0.7,Super Ideal,G,VS1,1042
730,0.72,Very Good,F,SI1,1013
730,0.73,Ideal,F,SI1,1000
730,0.7,Super Ideal,G,VS1,1042
730,0.7,Super Ideal,G,VS1,1042
730,0.7,Super Ideal,G,VS1,1042
730,0.7,Ideal,G,VS1,1042
