Price ($),Carat,Cut,Color,Clarity,Price/Ct
2300,0.7,Ideal,D,VVS2,3285
1220,0.8,Very Good,I,SI2,1525
2820,0.81,Ideal,D,VS1,3481
2070,0.7,Ideal,G,VS1,2957
2670,0.71,Ideal,D,VVS1,3760
3610,0.81,Super Ideal,F,VS1,4456
1190,0.8,Ideal,J,SI2,1487
1950,0.7,Super Ideal,F,VS2,2785
750,0.71,Very Good,J,SI1,1056
790,0.7,Ideal,J,SI2,1128
800,0.7,Good,I,SI2,1142
850,0.72,Ideal,G,SI2,1180
860,0.7,Ideal,I,SI2,1228
880,0.71,Good,I,SI2,1239
940,0.7,Ideal,I,SI2,1342
960,0.7,Ideal,H,SI2,1371
960,0.7,Ideal,I,SI2,1371
960,0.71,Ideal,I,SI1,1352
990,0.7,Very Good,J,SI2,1414
1000,0.71,Ideal,I,SI2,1408
1010,0.7,Very Good,H,SI2,1442
1010,0.7,Super Ideal,I,SI2,1442
1030,0.7,Ideal,G,SI2,1471
1040,0.7,Ideal,G,SI2,1485
1050,0.7,Very Good,I,SI2,1500
1050,0.71,Very Good,G,SI2,1478
1060,0.72,Super Ideal,J,SI1,1472
1060,0.71,Ideal,I,SI2,1492
1060,0.7,Ideal,G,SI2,1514
1070,0.7,Good,G,SI2,1528
1070,0.7,Ideal,I,SI2,1528
1080,0.7,Very Good,G,SI2,1542
1080,0.7,Very Good,G,SI2,1542
1090,0.7,Very Good,I,SI2,1557
1090,0.7,Super Ideal,F,SI2,1557
1100,0.7,Super Ideal,D,SI2,1571
1110,0.71,Very Good,F,SI2,1563
1110,0.7,Ideal,F,SI2,1585
1110,0.7,Ideal,H,SI2,1585
1120,0.7,Ideal,J,SI2,1600
1130,0.7,Ideal,H,SI2,1614
1130,0.7,Very Good,J,VS2,1614
1130,0.7,Ideal,F,SI2,1614
1130,0.7,Ideal,E,SI2,1614
1140,0.7,Super Ideal,H,SI2,1628
1140,0.72,Super Ideal,I,SI1,1583
1140,0.8,Ideal,H,SI2,1425
1140,0.7,Good,H,SI2,1628
1140,0.7,Very Good,H,SI2,1628
1150,0.8,Ideal,H,SI2,1437
1150,0.7,Ideal,J,SI2,1642
1150,0.7,Ideal,G,SI2,1642
1160,0.7,Ideal,J,SI1,1657
1160,0.7,Ideal,F,SI2,1657
1160,0.7,Very Good,I,SI2,1657
1160,0.7,Ideal,H,SI1,1657
1170,0.7,Super Ideal,G,SI2,1671
1170,0.7,Very Good,H,SI2,1671
1170,0.7,Ideal,H,SI2,1671
1170,0.7,Ideal,G,SI2,1671
1170,0.7,Ideal,F,SI2,1671
1170,0.7,Ideal,F,SI2,1671
1180,0.7,Ideal,H,SI1,1685
1180,0.7,Ideal,E,SI2,1685
1180,0.7,Ideal,G,SI2,1685
1190,0.71,Ideal,H,SI2,1676
1190,0.86,Ideal,I,SI2,1383
1190,0.7,Ideal,G,SI2,1700
1190,0.8,Ideal,G,SI2,1487
1190,0.71,Ideal,G,SI2,1676
1190,0.8,Super Ideal,I,SI2,1487
1190,0.71,Ideal,I,SI1,1676
1200,0.7,Ideal,J,VS2,1714
