Price ($),Carat,Cut,Color,Clarity,Price/Ct
2890,0.8,Ideal,D,VVS2,3612
1420,0.8,Ideal,I,SI2,1775
2720,0.8,Ideal,D,VS1,3400
2880,0.7,Super Ideal,G,VS1,4114
3000,0.7,Ideal,D,VVS1,4285
3360,0.71,Super Ideal,F,VS1,4732
1290,0.7,Ideal,J,SI2,1842
2600,0.8,Ideal,F,VS2,3250
1000,0.7,Ideal,J,VVS2,1428
1010,0.7,Ideal,H,SI2,1442
1010,0.7,Very Good,I,SI2,1442
1020,0.7,Ideal,I,SI2,1457
1020,0.71,Ideal,J,VS2,1436
1030,0.7,Ideal,H,SI2,1471
1040,0.7,Ideal,G,SI2,1485
1050,0.7,Very Good,G,SI2,1500
1060,0.7,Very Good,E,SI2,1514
1060,0.7,Ideal,H,SI2,1514
1060,0.7,Very Good,F,SI2,1514
1070,0.7,Very Good,G,SI2,1528
1070,0.71,Good,G,SI2,1507
1070,0.7,Ideal,J,SI2,1528
1090,0.7,Super Ideal,H,SI2,1557
1090,0.7,Very Good,H,SI2,1557
1090,0.7,Very Good,H,SI2,1557
1090,0.7,Ideal,I,SI2,1557
1100,0.7,Ideal,I,SI1,1571
1100,0.7,Ideal,G,SI2,1571
1110,0.7,Very Good,H,SI2,1585
1130,0.7,Very Good,H,SI2,1614
1140,0.7,Very Good,F,SI2,1628
1140,0.71,Ideal,H,SI2,1605
1140,0.7,Ideal,J,VS2,1628
1150,0.7,Good,F,SI2,1642
1150,0.71,Ideal,H,SI2,1619
1150,0.7,Very Good,H,SI2,1642
1160,0.7,Ideal,G,SI2,1657
1160,0.7,Very Good,J,VS2,1657
1160,0.7,Ideal,F,SI2,1657
1160,0.7,Very Good,J,SI1,1657
1170,0.7,Ideal,F,SI2,1671
1180,0.7,Ideal,G,SI1,1685
1180,0.7,Very Good,G,SI2,1685
1180,0.7,Ideal,H,SI1,1685
1190,0.7,Ideal,F,SI2,1700
1200,0.7,Ideal,F,SI2,1714
1200,0.7,Very Good,I,SI1,1714
1200,0.7,Very Good,J,SI2,1714
1210,0.8,Ideal,J,SI1,1512
1220,0.7,Very Good,F,SI2,1742
1230,0.7,Ideal,E,SI2,1757
1230,0.7,Ideal,G,SI2,1757
1230,0.71,Ideal,G,SI2,1732
1230,0.71,Super Ideal,G,SI2,1732
1240,0.75,Ideal,H,SI2,1653
1240,0.71,Ideal,G,SI2,1746
1250,0.7,Ideal,H,SI1,1785
1250,0.7,Ideal,G,SI2,1785
1260,0.7,Ideal,H,SI1,1800
1260,0.7,Ideal,E,SI2,1800
1260,0.7,Very Good,I,SI1,1800
1270,0.7,Ideal,I,VS2,1814
1270,0.7,Ideal,J,SI2,1814
1270,0.7,Ideal,F,SI2,1814
1270,0.7,Ideal,J,SI1,1814
1280,0.7,Very Good,J,SI2,1828
1290,0.7,Ideal,E,SI2,1842
1290,0.7,Ideal,H,SI2,1842
1290,0.7,Ideal,F,SI2,1842
1290,0.8,Ideal,H,SI2,1612
1290,0.7,Good,J,SI1,1842
1290,0.7,Ideal,J,VS2,1842
1290,0.7,Ideal,E,SI2,1842
1300,0.7,Ideal,J,SI1,1857
1300,0.81,Ideal,J,SI1,1604
1300,0.71,Ideal,E,SI2,1830
1310,0.7,Ideal,D,SI2,1871
1310,0.7,Ideal,J,VS2,1871
1320,0.7,Very Good,I,SI1,1885
1320,0.7,Very Good,H,SI2,1885
1320,0.7,Very Good,G,SI2,1885
1320,0.7,Ideal,F,SI2,1885
1320,0.7,Super Ideal,F,SI2,1885
1320,0.7,Ideal,G,SI2,1885
1330,0.7,Ideal,H,SI2,1900
1330,0.7,Very Good,H,SI1,1900
1330,0.71,Ideal,F,SI2,1873
1330,0.71,Ideal,H,SI1,1873
1330,0.81,Ideal,G,SI2,1641
1330,0.7,Ideal,G,SI2,1900
1340,0.7,Ideal,F,SI2,1914
1340,0.7,Ideal,E,SI2,1914
1340,0.8,Ideal,F,SI2,1675
1340,0.71,Ideal,G,SI2,1887
1340,0.71,Very Good,F,SI2,1887
1340,0.7,Ideal,E,SI2,1914
1340,0.71,Super Ideal,G,SI1,1887
1340,0.7,Ideal,I,SI2,1914
1350,0.7,Ideal,F,SI2,1928
1350,0.7,Ideal,I,SI1,1928
1350,0.7,Very Good,F,SI2,1928
1350,0.7,Very Good,G,SI2,1928
1350,0.7,Ideal,F,SI2,1928
1350,0.71,Ideal,F,SI2,1901
1350,0.7,Ideal,I,SI1,1928
1350,0.7,Very Good,J,SI1,1928
1360,0.7,Ideal,H,SI2,1942
1360,0.7,Very Good,I,SI1,1942
1360,0.8,Ideal,I,SI2,1700
1360,0.7,Ideal,F,SI2,1942
1360,0.7,Ideal,I,VS2,1942
1360,0.7,Very Good,I,SI2,1942
1360,0.7,Ideal,D,SI2,1942
1360,0.7,Ideal,J,VS2,1942
1370,0.7,Ideal,F,SI2,1957
1370,0.7,Super Ideal,J,VS2,1957
1370,0.7,Ideal,G,SI2,1957
1370,0.7,Ideal,H,SI2,1957
1370,0.7,Very Good,F,SI2,1957
1370,0.7,Very Good,I,VS2,1957
1370,0.8,Ideal,J,VS2,1712
1380,0.7,Ideal,J,VVS1,1971
1380,0.7,Very Good,E,SI1,1971
1380,0.7,Ideal,I,SI1,1971
1390,0.7,Ideal,I,SI1,1985
1390,0.7,Ideal,G,SI2,1985
1390,0.7,Ideal,G,SI2,1985
1390,0.7,Very Good,I,SI1,1985
1390,0.7,Ideal,I,SI1,1985
1400,0.7,Ideal,G,SI2,2000
1400,0.71,Ideal,F,SI2,1971
1400,0.7,Ideal,I,SI1,2000
1400,0.83,Ideal,J,SI1,1686
1400,0.7,Ideal,G,SI2,2000
1400,0.7,Ideal,H,SI2,2000
1410,0.8,Ideal,G,SI2,1762
1410,0.71,Very Good,J,SI1,1985
1410,0.71,Ideal,I,SI1,1985
1420,0.7,Very Good,H,SI2,2028
1420,0.7,Ideal,H,SI1,2028
1420,0.7,Good,E,SI1,2028
1420,0.71,Super Ideal,I,SI1,2000
1430,0.8,Ideal,G,SI2,1787
1430,0.7,Ideal,H,SI2,2042
1430,0.7,Super Ideal,F,SI2,2042
1430,0.7,Ideal,F,SI2,2042
1430,0.71,Very Good,G,SI2,2014
1430,0.7,Very Good,G,SI2,2042
1430,0.7,Ideal,I,SI1,2042
1440,0.7,Ideal,F,SI2,2057
1440,0.7,Ideal,I,SI1,2057
1440,0.7,Very Good,I,SI1,2057
1440,0.8,Very Good,I,SI1,1800
1440,0.7,Ideal,F,SI2,2057
1440,0.7,Very Good,F,SI1,2057
1440,0.71,Ideal,I,SI1,2028
1510,0.7,Very Good,I,VS2,2157
1520,0.7,Very Good,J,VS1,2171
1520,0.8,Very Good,G,SI2,1900
1520,0.7,Very Good,I,SI1,2171
1520,0.7,Ideal,J,VS2,2171
1520,0.7,Very Good,J,VS2,2171
1520,0.7,Ideal,F,SI2,2171
1530,0.7,Very Good,E,SI1,2185
1530,0.7,Very Good,J,VS2,2185
1530,0.71,Ideal,E,SI2,2154
1530,0.7,Ideal,E,SI2,2185
1530,0.7,Ideal,G,SI1,2185
1530,0.7,Ideal,E,SI2,2185
1530,0.75,Very Good,D,SI1,2040
1530,0.7,Super Ideal,E,SI1,2185
1530,0.8,Very Good,H,SI2,1912
1540,0.7,Ideal,H,SI2,2200
1540,0.8,Very Good,F,SI2,1925
1540,0.71,Very Good,H,SI1,2169
1540,0.7,Ideal,G,SI1,2200
1540,0.7,Very Good,I,VS1,2200
1540,0.7,Ideal,F,SI1,2200
1540,0.7,Ideal,J,SI1,2200
1550,0.7,Ideal,F,VS2,2214
1550,0.72,Ideal,F,VS2,2152
1550,0.7,Very Good,E,SI2,2214
1550,0.7,Ideal,I,SI1,2214
1550,0.7,Ideal,F,SI1,2214
1550,0.71,Ideal,F,SI2,2183
1550,0.7,Ideal,G,VS2,2214
1550,0.7,Super Ideal,G,SI1,2214
1550,0.7,Ideal,J,VVS2,2214
1560,0.7,Ideal,F,SI2,2228
1560,0.7,Very Good,I,VS2,2228
1560,0.81,Very Good,I,SI1,1925
1560,0.7,Very Good,H,SI1,2228
1570,0.71,Very Good,I,SI1,2211
1570,0.76,Super Ideal,J,SI1,2065
1570,0.7,Ideal,F,SI1,2242
1570,0.7,Ideal,F,SI2,2242
1570,0.7,Ideal,H,SI1,2242
1570,0.7,Very Good,H,VS1,2242
1570,0.7,Very Good,J,SI1,2242
1570,0.7,Good,H,SI1,2242
1570,0.7,Ideal,H,SI1,2242
1580,0.7,Ideal,D,SI1,2257
1580,0.7,Ideal,D,SI2,2257
1580,0.7,Very Good,I,SI1,2257
1580,0.7,Ideal,G,SI1,2257
1580,0.8,Very Good,H,SI2,1975
1580,0.71,Super Ideal,E,SI2,2225
1580,0.7,Very Good,H,SI1,2257
1580,0.8,Ideal,H,SI2,1975
1580,0.8,Ideal,I,SI1,1975
1590,0.8,Ideal,I,SI2,1987
1590,0.7,Good,H,SI1,2271
1590,0.7,Ideal,E,SI1,2271
1590,0.73,Very Good,F,SI2,2178
1590,0.7,Very Good,G,SI2,2271
1590,0.71,Ideal,E,SI1,2239
1590,0.7,Ideal,D,SI1,2271
1590,0.7,Good,D,SI2,2271
1590,0.7,Ideal,G,SI1,2271
1590,0.7,Ideal,H,SI1,2271
1590,0.71,Very Good,D,SI1,2239
1590,0.8,Ideal,G,SI2,1987
1590,0.7,Ideal,D,SI1,2271
1590,0.72,Good,H,SI1,2208
1600,0.7,Super Ideal,E,SI1,2285
1600,0.7,Ideal,E,SI1,2285
1600,0.71,Ideal,H,SI1,2253
1600,0.7,Very Good,I,VS2,2285
1600,0.7,Ideal,I,VVS2,2285
1600,0.8,Ideal,J,VVS2,2000
1600,0.7,Very Good,I,VS2,2285
1600,0.72,Ideal,J,VS2,2222
1610,0.7,Ideal,J,VVS1,2300
1610,0.77,Ideal,J,VS2,2090
1610,0.7,Ideal,G,SI1,2300
1610,0.7,Ideal,H,SI2,2300
1610,0.7,Ideal,F,SI1,2300
1610,0.7,Ideal,H,SI1,2300
1610,0.8,Ideal,J,VS2,2012
1610,0.7,Ideal,G,SI2,2300
1610,0.7,Ideal,I,VS2,2300
1610,0.7,Ideal,I,VS2,2300
1610,0.72,Ideal,I,VVS2,2236
1610,0.8,Ideal,G,SI2,2012
1610,0.8,Ideal,I,SI1,2012
1620,0.75,Very Good,I,VS2,2160
1620,0.8,Super Ideal,I,SI1,2025
1620,0.7,Very Good,G,SI1,2314
1620,0.7,Ideal,G,SI1,2314
1620,0.74,Very Good,I,SI1,2189
1620,0.8,Ideal,F,SI2,2025
1620,0.72,Ideal,J,VS2,2250
1620,0.8,Good,H,SI2,2025
1630,0.72,Ideal,J,VS1,2263
1630,0.71,Very Good,H,SI2,2295
1630,0.71,Ideal,I,VS2,2295
1680,0.7,Ideal,J,VS1,2400
1680,0.7,Ideal,G,VS2,2400
1690,0.7,Ideal,E,SI2,2414
1690,0.72,Ideal,F,SI1,2347
1690,0.7,Ideal,F,SI1,2414
1690,0.7,Ideal,H,SI2,2414
1690,0.8,Super Ideal,J,SI1,2112
1690,0.7,Ideal,G,SI1,2414
1690,0.75,Ideal,I,SI1,2253
1700,0.7,Ideal,G,SI1,2428
1700,0.8,Good,G,SI1,2125
1700,0.71,Super Ideal,I,VVS2,2394
1700,0.71,Ideal,H,SI2,2394
