Price ($),Carat,Cut,Color,Clarity,Price/Ct
1030,0.76,Super Ideal,D,VVS2,1355
1060,0.87,Super Ideal,E,VVS2,1218
820,0.74,Ideal,F,VS1,1108
810,0.7,Super Ideal,E,VS1,1157
840,0.74,Super Ideal,F,VVS2,1135
1140,0.89,Super Ideal,D,VS1,1280
1250,0.83,Ideal,D,VVS1,1506
910,0.88,Super Ideal,G,VS1,1034
640,0.7,Ideal,I,VS2,914
640,0.7,Ideal,I,VS2,914
640,0.71,Super Ideal,H,SI1,901
640,0.7,Ideal,J,VS1,914
650,0.7,Super Ideal,G,SI1,928
660,0.71,Super Ideal,G,SI1,929
660,0.7,Super Ideal,H,VS1,942
660,0.71,Super Ideal,G,SI1,929
660,0.71,Super Ideal,I,VS1,929
670,0.72,Ideal,J,VVS2,930
670,0.72,Ideal,J,VVS2,930
670,0.73,Super Ideal,I,VS2,917
670,0.71,Super Ideal,F,SI1,943
670,0.7,Ideal,F,SI1,957
670,0.72,Super Ideal,H,VS2,930
670,0.73,Super Ideal,H,VS2,917
670,0.7,Ideal,J,VVS1,957
670,0.73,Super Ideal,H,VS2,917
670,0.72,Ideal,I,VS1,930
670,0.71,Ideal,F,SI1,943
670,0.7,Ideal,F,SI1,957
670,0.73,Super Ideal,G,SI1,917
670,0.7,Super Ideal,G,VS2,957
670,0.7,Super Ideal,G,VS2,957
670,0.71,Super Ideal,H,VS1,943
670,0.71,Super Ideal,H,VS1,943
680,0.71,Super Ideal,E,SI1,957
680,0.7,Ideal,E,SI1,971
680,0.71,Ideal,G,VS2,957
680,0.74,Super Ideal,H,VS2,918
680,0.7,Super Ideal,H,VVS2,971
680,0.72,Super Ideal,F,SI1,944
680,0.72,Super Ideal,F,SI1,944
680,0.72,Super Ideal,F,SI1,944
680,0.7,Very Good,F,SI1,971
680,0.71,Super Ideal,E,SI1,957
680,0.72,Super Ideal,H,VS1,944
680,0.7,Very Good,F,SI1,971
680,0.72,Super Ideal,J,VVS2,944
680,0.71,Super Ideal,E,SI1,957
680,0.7,Very Good,E,SI1,971
680,0.72,Super Ideal,F,SI1,944
680,0.72,Super Ideal,H,VS1,944
680,0.74,Super Ideal,I,VS2,918
690,0.73,Super Ideal,H,VS1,945
690,0.74,Ideal,J,VS1,932
690,0.72,Ideal,J,VVS1,958
690,0.72,Super Ideal,F,SI1,958
690,0.72,Super Ideal,G,VS2,958
690,0.73,Ideal,J,VVS2,945
690,0.72,Ideal,I,VS1,958
690,0.72,Ideal,G,VS2,958
690,0.71,Ideal,I,VVS2,971
700,0.72,Very Good,E,SI1,972
700,0.76,Super Ideal,H,VS2,921
700,0.76,Super Ideal,G,SI1,921
700,0.73,Very Good,G,VS2,958
700,0.73,Super Ideal,G,VS2,958
700,0.73,Super Ideal,G,VS2,958
