Price ($),Carat,Cut,Color,Clarity,Price/Ct
2770,0.75,Super Ideal,D,VVS2,3693
730,0.7,Ideal,I,SI2,1042
1680,0.7,Ideal,D,VS1,2400
2120,0.8,Super Ideal,G,VS1,2650
2390,0.71,Ideal,D,VVS1,3366
1940,0.8,Ideal,F,VS1,2425
1440,0.8,Ideal,J,SI2,1800
1810,0.8,Ideal,F,VS2,2262
790,0.7,Ideal,F,SI2,1128
840,0.7,Ideal,F,SI2,1200
850,0.7,Ideal,F,SI2,1214
860,0.7,Good,G,SI2,1228
860,0.71,Very Good,J,SI2,1211
870,0.7,Ideal,G,SI2,1242
870,0.73,Ideal,J,SI2,1191
900,0.7,Very Good,G,SI2,1285
920,0.7,Very Good,G,SI1,1314
930,0.7,Ideal,G,SI2,1328
930,0.7,Very Good,G,SI1,1328
940,0.7,Super Ideal,J,SI1,1342
940,0.7,Ideal,G,SI2,1342
940,0.7,Ideal,G,SI2,1342
940,0.7,Ideal,G,SI2,1342
950,0.7,Ideal,H,SI2,1357
960,0.7,Ideal,I,SI1,1371
960,0.7,Ideal,E,SI1,1371
960,0.7,Good,G,SI1,1371
960,0.7,Ideal,G,SI2,1371
970,0.7,Ideal,E,SI1,1385
970,0.7,Very Good,F,SI1,1385
970,0.7,Ideal,G,SI2,1385
980,0.7,Ideal,F,SI2,1400
990,0.74,Ideal,J,SI1,1337
990,0.74,Ideal,J,SI2,1337
990,0.7,Very Good,F,SI2,1414
1000,0.7,Very Good,I,SI1,1428
1000,0.76,Very Good,J,SI1,1315
1010,0.7,Ideal,G,SI2,1442
1010,0.72,Ideal,I,SI2,1402
1010,0.71,Ideal,G,SI1,1422
1010,0.7,Ideal,E,SI2,1442
1020,0.8,Ideal,J,SI1,1275
1020,0.8,Ideal,G,SI2,1275
1020,0.8,Very Good,J,SI1,1275
1030,0.7,Ideal,E,SI2,1471
1030,0.7,Ideal,E,SI2,1471
1030,0.82,Super Ideal,G,SI2,1256
1030,0.7,Good,J,SI2,1471
1030,0.7,Ideal,J,SI2,1471
1030,0.8,Very Good,J,SI2,1287
1040,0.7,Ideal,E,SI2,1485
1040,0.71,Super Ideal,F,SI2,1464
1040,0.7,Very Good,H,VS2,1485
1050,0.7,Ideal,I,VS1,1500
1050,0.7,Very Good,I,SI1,1500
1060,0.82,Ideal,H,SI2,1292
1060,0.7,Ideal,E,SI1,1514
1070,0.7,Ideal,G,SI2,1528
1070,0.7,Very Good,E,SI2,1528
1070,0.7,Very Good,G,SI1,1528
1070,0.7,Ideal,E,SI1,1528
1070,0.7,Good,H,VS2,1528
1070,0.7,Super Ideal,F,SI2,1528
1070,0.7,Super Ideal,G,SI2,1528
1070,0.7,Ideal,J,VS2,1528
1080,0.7,Ideal,E,SI1,1542
1080,0.7,Good,E,SI1,1542
1080,0.7,Ideal,E,SI2,1542
1090,0.7,Super Ideal,E,SI2,1557
1090,0.8,Good,F,SI2,1362
1090,0.7,Ideal,F,SI2,1557
1090,0.7,Ideal,G,SI2,1557
1090,0.8,Good,H,SI2,1362
1090,0.8,Very Good,I,SI2,1362
1100,0.7,Super Ideal,G,SI2,1571
1100,0.7,Ideal,G,SI1,1571
1100,0.7,Very Good,I,SI2,1571
1110,0.7,Ideal,E,SI2,1585
1120,0.7,Ideal,F,SI2,1600
1120,0.8,Ideal,I,SI2,1400
1140,0.7,Ideal,G,SI1,1628
1140,0.71,Ideal,H,SI2,1605
1140,0.7,Ideal,I,SI2,1628
1140,0.7,Ideal,F,SI1,1628
1140,0.7,Ideal,G,SI1,1628
1150,0.8,Ideal,I,SI1,1437
1150,0.71,Super Ideal,I,SI1,1619
1160,0.7,Ideal,F,SI1,1657
1160,0.8,Very Good,F,SI1,1450
1160,0.87,Very Good,I,SI1,1333
1170,0.7,Ideal,I,VS2,1671
1170,0.71,Ideal,I,SI1,1647
1170,0.7,Ideal,F,SI2,1671
1170,0.72,Ideal,J,VS2,1625
1180,0.7,Very Good,F,SI1,1685
1180,0.7,Ideal,H,SI1,1685
1180,0.7,Ideal,H,SI2,1685
1180,0.7,Very Good,F,SI1,1685
1180,0.7,Ideal,I,SI1,1685
1190,0.7,Ideal,H,SI1,1700
1190,0.8,Ideal,D,SI2,1487
1190,0.8,Ideal,G,SI2,1487
1200,0.7,Ideal,G,SI1,1714
1200,0.7,Ideal,G,SI2,1714
1200,0.72,Ideal,F,SI1,1666
1200,0.8,Ideal,F,SI2,1500
1200,0.7,Ideal,G,VS2,1714
1210,0.71,Ideal,E,SI1,1704
1210,0.7,Super Ideal,F,SI1,1728
1210,0.7,Ideal,G,SI1,1728
1210,0.7,Ideal,F,SI1,1728
1210,0.7,Super Ideal,F,SI1,1728
1210,0.8,Ideal,J,SI1,1512
1220,0.81,Ideal,H,SI1,1506
1220,0.7,Ideal,G,SI1,1742
1220,0.7,Super Ideal,F,SI1,1742
1220,0.7,Ideal,J,VS1,1742
1220,0.8,Super Ideal,F,SI2,1525
1230,0.7,Super Ideal,F,SI1,1757
1230,0.7,Ideal,J,VVS2,1757
1230,0.7,Ideal,J,VS1,1757
1230,0.7,Very Good,F,SI1,1757
1230,0.7,Ideal,H,VS2,1757
1230,0.7,Super Ideal,I,VS2,1757
1230,0.7,Very Good,J,VS1,1757
1230,0.7,Ideal,J,VS2,1757
1240,0.71,Ideal,F,SI1,1746
1240,0.7,Ideal,F,SI1,1771
1240,0.7,Super Ideal,F,SI1,1771
1240,0.7,Very Good,I,VS1,1771
1240,0.7,Very Good,H,VS2,1771
1240,0.7,Super Ideal,I,VS1,1771
1240,0.7,Ideal,F,VS2,1771
1240,0.7,Super Ideal,I,VS1,1771
1250,0.7,Super Ideal,F,SI2,1785
1250,0.71,Super Ideal,E,SI1,1760
1260,0.7,Ideal,H,VVS1,1800
1260,0.71,Ideal,H,SI1,1774
1260,0.7,Ideal,G,SI1,1800
1260,0.71,Very Good,J,VVS1,1774
1260,0.73,Ideal,J,VVS2,1726
1270,0.8,Ideal,H,SI1,1587
1270,0.7,Ideal,F,SI1,1814
1270,0.7,Very Good,F,VS2,1814
1270,0.83,Ideal,H,SI2,1530
1270,0.7,Super Ideal,F,SI1,1814
1270,0.8,Super Ideal,E,SI2,1587
1280,0.8,Super Ideal,F,SI2,1600
1280,0.81,Ideal,I,SI1,1580
1280,0.8,Ideal,G,SI1,1600
1290,0.7,Super Ideal,E,SI2,1842
1290,0.7,Very Good,H,VS2,1842
1290,0.74,Super Ideal,J,VS2,1743
1290,0.7,Ideal,J,VS2,1842
1300,0.7,Super Ideal,F,SI1,1857
1300,0.7,Very Good,J,VVS1,1857
1300,0.8,Ideal,H,SI1,1625
1370,0.8,Very Good,I,VS1,1712
1370,0.7,Ideal,I,VS2,1957
1370,0.71,Ideal,F,SI1,1929
1370,0.7,Ideal,F,SI1,1957
1370,0.7,Ideal,I,VS2,1957
1370,0.7,Ideal,H,VS2,1957
1380,0.7,Ideal,E,SI1,1971
1380,0.71,Super Ideal,G,VS1,1943
1380,0.8,Ideal,G,SI1,1725
1380,0.7,Ideal,G,VS2,1971
1380,0.7,Ideal,I,VS2,1971
1380,0.8,Ideal,H,SI2,1725
1380,0.71,Super Ideal,G,SI1,1943
1380,0.7,Super Ideal,G,VS1,1971
1390,0.7,Ideal,G,VS2,1985
1390,0.8,Ideal,G,SI1,1737
1390,0.74,Ideal,I,VVS1,1878
1390,0.7,Ideal,H,VS1,1985
1390,0.71,Super Ideal,G,VS1,1957
1390,0.8,Very Good,J,VS1,1737
1400,0.7,Ideal,D,SI1,2000
1400,0.7,Ideal,G,SI1,2000
1400,0.8,Very Good,H,SI1,1750
1400,0.7,Ideal,F,SI1,2000
1400,0.7,Super Ideal,G,VS2,2000
1400,0.75,Ideal,J,VS1,1866
1400,0.7,Good,H,VS1,2000
1400,0.7,Super Ideal,G,SI1,2000
1400,0.7,Ideal,E,VS1,2000
1400,0.7,Ideal,F,VS2,2000
1400,0.7,Super Ideal,F,SI1,2000
1410,0.7,Super Ideal,H,VS2,2014
1410,0.7,Ideal,H,VVS2,2014
1410,0.8,Ideal,H,SI1,1762
1410,0.8,Ideal,J,SI1,1762
1410,0.7,Very Good,H,SI1,2014
1410,0.8,Ideal,J,VS2,1762
1420,0.7,Super Ideal,F,VS2,2028
1420,0.7,Super Ideal,F,VS2,2028
1420,0.81,Ideal,H,SI2,1753
1420,0.7,Super Ideal,F,SI1,2028
1420,0.7,Ideal,H,VS1,2028
1420,0.7,Ideal,H,VS2,2028
1420,0.8,Ideal,J,VS2,1775
1420,0.71,Ideal,D,SI1,2000
1420,0.85,Ideal,I,VS2,1670
1430,0.72,Super Ideal,E,SI1,1986
1430,0.7,Very Good,F,VS2,2042
1430,0.7,Very Good,F,VS1,2042
1430,0.7,Super Ideal,G,VS1,2042
1430,0.7,Ideal,G,SI1,2042
1440,0.7,Super Ideal,E,SI1,2057
1440,0.7,Super Ideal,F,SI1,2057
1440,0.7,Ideal,G,VS2,2057
1440,0.8,Ideal,I,SI1,1800
1440,0.7,Good,H,VVS1,2057
1440,0.71,Ideal,H,SI1,2028
1440,0.7,Ideal,G,VS2,2057
1440,0.71,Ideal,I,VS1,2028
1440,0.8,Very Good,F,SI1,1800
1450,0.7,Ideal,G,VS2,2071
1450,0.7,Very Good,I,VVS2,2071
1450,0.7,Ideal,J,IF,2071
1450,0.7,Ideal,F,SI1,2071
1450,0.7,Ideal,I,VS1,2071
1450,0.7,Ideal,F,VS2,2071
1450,0.7,Good,F,VS1,2071
1450,0.7,Ideal,I,VS1,2071
1460,0.8,Very Good,I,VS2,1825
1460,0.81,Ideal,F,SI1,1802
1460,0.8,Ideal,J,VS1,1825
1460,0.72,Very Good,G,VS2,2027
1460,0.7,Super Ideal,G,VS2,2085
1460,0.7,Ideal,G,VS2,2085
1460,0.7,Ideal,H,VS2,2085
1470,0.8,Ideal,G,SI1,1837
1470,0.7,Super Ideal,G,VS2,2100
1470,0.7,Very Good,F,VS2,2100
1470,0.71,Ideal,F,SI1,2070
1470,0.8,Ideal,J,VVS2,1837
1470,0.8,Ideal,H,SI1,1837
1470,0.72,Very Good,H,VS2,2041
1470,0.8,Ideal,H,SI1,1837
1470,0.7,Ideal,F,SI1,2100
1480,0.71,Ideal,I,VVS1,2084
1480,0.7,Ideal,F,VS2,2114
1480,0.7,Very Good,G,VS2,2114
1480,0.7,Super Ideal,J,VVS1,2114
1480,0.7,Ideal,J,VS1,2114
1490,0.75,Very Good,D,SI2,1986
1490,0.7,Ideal,H,VS2,2128
1490,0.7,Ideal,F,VS2,2128
1490,0.7,Ideal,E,SI1,2128
1490,0.7,Ideal,F,SI1,2128
1490,0.71,Super Ideal,G,SI1,2098
1490,0.73,Super Ideal,F,VS2,2041
1490,0.7,Very Good,F,VS2,2128
1490,0.71,Very Good,H,SI1,2098
1500,0.7,Super Ideal,F,SI1,2142
1550,0.7,Ideal,H,VS1,2214
1560,0.7,Ideal,I,VVS2,2228
1560,0.7,Super Ideal,H,VS2,2228
1560,0.74,Super Ideal,E,SI1,2108
1560,0.7,Ideal,G,VS2,2228
1560,0.7,Very Good,I,VVS2,2228
1560,0.7,Very Good,E,SI1,2228
1560,0.7,Ideal,G,VS2,2228
1570,0.7,Ideal,G,VS2,2242
1570,0.8,Good,J,VS2,1962
1570,0.7,Super Ideal,F,VS2,2242
1570,0.8,Very Good,J,VVS2,1962
1570,0.7,Super Ideal,G,VS2,2242
1570,0.8,Ideal,H,VS2,1962
1570,0.7,Super Ideal,E,VS2,2242
1570,0.7,Ideal,E,SI1,2242
1570,0.8,Very Good,I,VVS2,1962
1580,0.7,Ideal,H,VS1,2257
1580,0.72,Super Ideal,E,VS2,2194
1580,0.7,Ideal,G,VS2,2257
1580,0.7,Ideal,G,VS2,2257
1580,0.7,Ideal,F,VS2,2257
1580,0.7,Ideal,G,VS2,2257
1580,0.7,Ideal,G,VS2,2257
1580,0.7,Ideal,H,VS1,2257
1580,0.7,Ideal,H,VS1,2257
1580,0.7,Ideal,I,VVS2,2257
1590,0.7,Ideal,H,VS2,2271
1590,0.7,Good,I,VS1,2271
1590,0.8,Ideal,H,VS2,1987
1590,0.8,Ideal,J,VVS2,1987
1590,0.7,Ideal,I,VS2,2271
1590,0.7,Good,I,VVS1,2271
1600,0.71,Ideal,G,VS2,2253
1600,0.7,Good,F,VS2,2285
1600,0.71,Ideal,G,VS2,2253
1600,0.7,Ideal,E,SI1,2285
1600,0.7,Ideal,F,VS2,2285
1600,0.71,Ideal,H,VS1,2253
1600,0.7,Very Good,J,VS1,2285
1600,0.8,Ideal,E,SI1,2000
1600,0.74,Super Ideal,F,SI1,2162
1600,0.71,Good,I,SI1,2253
1610,0.7,Ideal,F,VS1,2300
1610,0.71,Ideal,J,VS1,2267
1610,0.8,Very Good,J,VS1,2012
1610,0.71,Ideal,G,VS2,2267
1610,0.8,Ideal,E,SI1,2012
1610,0.85,Ideal,H,SI1,1894
1610,0.71,Ideal,G,VS2,2267
1610,0.8,Ideal,F,SI1,2012
1620,0.8,Super Ideal,E,SI1,2025
1620,0.8,Ideal,H,VS1,2025
1620,0.7,Ideal,H,VS2,2314
1620,0.71,Super Ideal,H,VS2,2281
1620,0.7,Very Good,H,VS1,2314
1620,0.8,Ideal,G,SI1,2025
1620,0.8,Ideal,J,VVS1,2025
1620,0.7,Ideal,F,VS2,2314
1620,0.8,Ideal,F,SI1,2025
1620,0.8,Ideal,I,VS2,2025
1630,0.7,Ideal,F,VS2,2328
1630,0.7,Ideal,F,VS1,2328
1630,0.7,Ideal,G,VS2,2328
1630,0.8,Ideal,J,VS2,2037
