Price ($),Carat,Cut,Color,Clarity,Price/Ct
2410,0.7,Good,D,VVS2,3442
1490,0.8,Ideal,I,SI2,1862
1900,0.7,Ideal,D,VS1,2714
1970,0.81,Super Ideal,G,VS1,2432
2370,0.7,Super Ideal,D,VVS1,3385
1610,0.7,Ideal,F,VS1,2300
1550,0.8,Ideal,J,SI2,1937
1900,0.81,Ideal,F,VS2,2345
880,0.71,Super Ideal,H,SI1,1239
880,0.7,Ideal,G,SI2,1257
900,0.71,Ideal,H,SI2,1267
900,0.7,Ideal,I,SI1,1285
920,0.71,Good,H,VS2,1295
1000,0.7,Good,H,SI1,1428
1020,0.7,Ideal,D,SI2,1457
1040,0.8,Ideal,G,SI2,1300
1050,0.7,Ideal,H,VS2,1500
1070,0.7,Super Ideal,I,SI1,1528
1100,0.7,Ideal,F,SI2,1571
1120,0.7,Ideal,D,SI1,1600
1130,0.7,Ideal,I,SI1,1614
1150,0.7,Good,I,SI1,1642
1150,0.71,Very Good,J,VS2,1619
1180,0.7,Good,J,VVS2,1685
1190,0.7,Ideal,H,SI1,1700
1190,0.74,Ideal,E,VS2,1608
1200,0.7,Very Good,G,SI1,1714
1210,0.71,Ideal,G,SI1,1704
1220,0.8,Super Ideal,G,SI2,1525
1230,0.72,Ideal,J,VS2,1708
1240,0.7,Ideal,H,VS2,1771
1240,0.72,Ideal,F,SI1,1722
1260,0.72,Super Ideal,J,VVS1,1750
1270,0.7,Ideal,D,VS2,1814
1270,0.7,Fair,G,SI1,1814
1280,0.81,Super Ideal,F,SI2,1580
1280,0.77,Ideal,E,SI2,1662
1300,0.72,Super Ideal,E,SI1,1805
1300,0.7,Good,H,SI2,1857
1310,0.71,Super Ideal,H,SI1,1845
1320,0.7,Ideal,H,VS1,1885
1330,0.71,Ideal,H,VS1,1873
1330,0.71,Very Good,G,SI2,1873
1340,0.7,Super Ideal,G,SI1,1914
1340,0.7,Very Good,H,SI1,1914
1350,0.7,Ideal,D,SI1,1928
1360,0.71,Ideal,J,SI1,1915
1360,0.7,Ideal,G,VS2,1942
1370,0.8,Very Good,H,SI1,1712
1380,0.8,Ideal,I,VVS2,1725
