Price ($),Carat,Cut,Color,Clarity,Price/Ct
325,0.7,Excellent,G,SI1,464
392,0.7,Excellent,D,SI1,560
398,0.71,Excellent,D,SI1,560
406,0.71,Excellent,L,SI1,571
407,0.82,Excellent,F,SI1,496
407,0.77,Excellent,E,SI1,528
414,0.74,Excellent,D,SI1,559
434,0.7,Excellent,G,SI1,620
453,0.7,Excellent,E,SI1,647
459,0.7,Excellent,E,VS2,655
464,0.72,Excellent,E,SI1,644
466,0.7,Excellent,H,VS1,665
466,0.71,Excellent,E,VS2,656
470,0.72,Excellent,H,VS2,652
472,0.72,Excellent,E,VS2,655
472,0.72,Excellent,E,VS2,655
475,0.73,Excellent,H,VS2,650
481,0.7,Good,F,SI2,687
488,0.71,Excellent,D,VS2,687
492,0.7,Excellent,H,VS1,702
493,0.72,Excellent,I,VS2,684
493,0.72,Excellent,I,VS2,684
493,0.7,Excellent,G,VVS2,704
494,0.77,Excellent,H,VS2,641
500,0.71,Excellent,F,VS1,704
500,0.71,Excellent,F,VS1,704
500,0.73,Excellent,E,SI1,684
502,0.73,Excellent,D,VS2,687
505,0.7,Excellent,H,VS1,721
514,0.77,Excellent,D,SI2,667
518,0.72,Excellent,E,SI2,719
518,0.79,Excellent,E,VS2,655
523,0.76,Excellent,D,VS2,688
525,0.7,Excellent,F,SI1,750
529,0.7,Excellent,I,VS2,755
530,0.72,Excellent,E,VS1,736
530,0.72,Excellent,E,VS1,736
531,0.71,Excellent,F,SI1,747
531,0.71,Excellent,I,VS1,747
536,0.71,Excellent,H,VS1,754
540,0.7,Excellent,G,VS1,771
542,0.72,Excellent,G,VS1,752
544,0.7,Excellent,E,SI1,777
544,0.7,Excellent,E,SI1,777
544,0.7,Excellent,E,SI1,777
544,0.7,Excellent,E,SI1,777
544,0.7,Excellent,E,SI1,777
544,0.7,Excellent,E,SI1,777
544,0.73,Excellent,F,SI1,745
549,0.73,Excellent,F,VVS2,752
549,0.78,Excellent,G,VVS2,703
551,0.71,Excellent,E,SI1,776
551,0.71,Excellent,E,SI1,776
551,0.71,Excellent,E,SI1,776
551,0.71,Excellent,E,SI1,776
551,0.71,Excellent,E,SI1,776
556,0.7,Excellent,F,VS2,794
557,0.72,Excellent,E,SI1,773
