Price ($),Carat,Cut,Color,Clarity,Price/Ct
609,0.7,Excellent,L,SI2,870
640,0.7,Excellent,K,SI1,914
661,0.7,Excellent,K,SI2,944
665,0.8,Excellent,L,SI2,831
684,0.7,Excellent,H,SI2,977
685,0.73,Excellent,L,VS2,938
692,0.7,Excellent,K,I1,988
696,0.7,Excellent,K,SI1,994
697,0.7,Excellent,F,I1,995
717,0.72,Excellent,J,SI2,995
724,0.7,Excellent,H,SI2,1034
733,0.72,Good,L,VS2,1018
748,0.7,Excellent,K,SI1,1068
751,0.72,Excellent,J,SI2,1043
759,0.7,Excellent,F,SI2,1084
762,0.73,Excellent,L,VS2,1043
766,0.75,Excellent,L,VS2,1021
771,0.7,Excellent,F,SI2,1101
772,0.7,Excellent,J,VS2,1102
772,0.7,Excellent,G,I1,1102
780,0.72,Excellent,G,I1,1083
781,0.7,Excellent,L,VS2,1115
787,0.72,Excellent,K,SI2,1093
819,0.71,Excellent,K,SI1,1153
821,0.8,Excellent,L,SI1,1026
831,0.75,Excellent,L,VS2,1108
835,0.7,Excellent,L,VS1,1192
849,0.7,Excellent,K,SI1,1212
862,0.72,Excellent,L,VS2,1197
884,0.7,Excellent,I,I1,1262
886,0.7,Excellent,K,SI2,1265
891,0.71,Excellent,J,SI2,1254
894,0.75,Excellent,K,SI2,1192
900,0.73,Excellent,L,VS2,1232
903,0.7,Excellent,I,I1,1290
906,0.7,Excellent,K,VS2,1294
911,0.7,Excellent,K,VS2,1301
922,0.72,Excellent,L,VS1,1280
935,0.79,Excellent,K,VS1,1183
947,0.7,Excellent,I,SI1,1352
951,0.7,Excellent,K,VS2,1358
951,0.7,Excellent,K,SI1,1358
951,0.72,Excellent,I,SI1,1320
962,0.7,Excellent,E,SI2,1374
964,0.7,Excellent,I,SI2,1377
967,0.7,Excellent,I,SI2,1381
970,0.7,Excellent,K,VS2,1385
971,0.7,Excellent,K,VS2,1387
982,0.7,Excellent,L,VS2,1402
983,0.7,Excellent,D,I1,1404
984,0.83,Excellent,J,SI2,1185
987,0.7,Excellent,I,SI2,1410
992,0.7,Excellent,F,SI2,1417
1000,0.7,Excellent,J,VS1,1428
1002,0.73,Excellent,K,SI2,1372
1003,0.75,Excellent,H,I1,1337
1011,0.71,Excellent,J,SI2,1423
1013,0.73,Excellent,K,VS2,1387
1013,0.7,Excellent,L,VS2,1447
1015,0.7,Excellent,J,SI1,1450
1017,0.72,Excellent,K,SI1,1412
1022,0.73,Excellent,K,VS2,1400
1023,0.7,Excellent,L,VVS2,1461
1023,0.7,Excellent,J,SI2,1461
1027,0.7,Excellent,K,SI1,1467
1029,0.7,Excellent,J,VVS1,1470
1031,0.71,Excellent,K,VVS1,1452
1031,0.72,Excellent,K,VS1,1431
1040,0.7,Excellent,L,VS1,1485
1041,0.7,Excellent,K,VS2,1487
1056,0.72,Excellent,L,VS1,1466
1057,0.7,Excellent,K,VVS1,1510
1057,0.7,Excellent,J,SI2,1510
1060,0.7,Excellent,K,SI1,1514
1060,0.7,Excellent,J,SI2,1514
1063,0.71,Excellent,L,IF,1497
1064,0.7,Excellent,I,VS2,1520
1065,0.75,Excellent,L,SI1,1420
1069,0.72,Excellent,K,VS2,1484
1071,0.71,Excellent,L,VVS1,1508
1071,0.73,Excellent,K,VS2,1467
1075,0.7,Excellent,J,VS2,1535
1076,0.71,Excellent,K,SI1,1515
1080,0.7,Excellent,I,SI1,1542
1080,0.8,Excellent,G,SI2,1350
1083,0.71,Excellent,F,SI2,1525
1084,0.76,Excellent,K,VS1,1426
1084,0.71,Excellent,L,VVS1,1526
1086,0.7,Excellent,K,VS1,1551
1086,0.7,Excellent,J,SI1,1551
1087,0.8,Excellent,K,VVS2,1358
1089,0.7,Excellent,L,VVS2,1555
1090,0.76,Excellent,J,SI2,1434
1096,0.8,Excellent,I,SI2,1370
1096,0.7,Excellent,K,SI1,1565
1097,0.72,Excellent,J,SI2,1523
1100,0.7,Excellent,K,VS2,1571
1104,0.8,Excellent,K,I1,1380
1104,0.71,Excellent,K,VS2,1554
1109,0.73,Excellent,F,SI2,1519
1115,0.7,Excellent,K,VS1,1592
1117,0.7,Excellent,K,VS1,1595
1117,0.8,Excellent,K,VS1,1396
1117,0.71,Excellent,I,SI1,1573
1117,0.7,Excellent,F,SI2,1595
1129,0.76,Excellent,E,SI2,1485
1131,0.81,Excellent,L,VVS1,1396
1132,0.7,Excellent,I,SI2,1617
1133,0.7,Excellent,K,VS2,1618
1134,0.71,Excellent,K,VVS2,1597
1134,0.7,Excellent,J,SI1,1620
1135,0.7,Excellent,E,SI2,1621
1137,0.7,Excellent,K,VS2,1624
1145,0.75,Excellent,J,SI2,1526
1146,0.8,Excellent,H,SI2,1432
1149,0.72,Excellent,J,SI1,1595
1152,0.7,Excellent,E,SI1,1645
1153,0.7,Excellent,J,SI1,1647
1154,0.7,Excellent,L,VVS2,1648
1156,0.7,Excellent,K,VS1,1651
1157,0.8,Excellent,K,VVS2,1446
1157,0.7,Excellent,J,VS2,1652
1162,0.7,Excellent,K,VS2,1660
1166,0.72,Excellent,J,SI1,1619
1166,0.72,Excellent,L,VVS2,1619
1168,0.7,Good,D,SI2,1668
1168,0.7,Excellent,E,SI2,1668
1169,0.82,Excellent,L,VS2,1425
1172,0.7,Excellent,I,SI2,1674
1174,0.8,Excellent,G,SI2,1467
1174,0.81,Excellent,H,SI2,1449
1174,0.7,Excellent,H,SI2,1677
1176,0.72,Excellent,I,VS2,1633
1177,0.7,Excellent,H,SI2,1681
1179,0.7,Excellent,E,SI2,1684
1180,0.7,Good,E,SI2,1685
1180,0.75,Excellent,J,VS2,1573
1182,0.72,Excellent,K,VS2,1641
1183,0.79,Excellent,D,SI2,1497
1183,0.7,Excellent,E,SI2,1690
1184,0.71,Excellent,H,SI2,1667
1185,0.7,Excellent,K,VS2,1692
1186,0.72,Excellent,J,VS2,1647
1188,0.7,Excellent,H,SI2,1697
1189,0.7,Excellent,J,VS2,1698
1189,0.75,Excellent,K,VVS2,1585
1190,0.71,Excellent,L,VS1,1676
1192,0.7,Excellent,K,VS2,1702
1194,0.71,Excellent,I,SI1,1681
1195,0.7,Excellent,J,SI2,1707
1196,0.7,Excellent,H,SI1,1708
1201,0.7,Excellent,H,SI1,1715
1201,0.7,Excellent,E,SI2,1715
1202,0.7,Excellent,K,SI1,1717
1205,0.71,Excellent,L,VVS2,1697
1206,0.71,Excellent,K,VS1,1698
1206,0.72,Excellent,I,SI2,1675
1208,0.75,Excellent,L,VVS2,1610
1208,0.7,Excellent,F,SI2,1725
1210,0.7,Excellent,K,VS2,1728
1210,0.7,Excellent,L,IF,1728
1210,0.8,Excellent,J,I1,1512
1210,0.7,Excellent,G,SI1,1728
1211,0.7,Excellent,H,SI1,1730
1211,0.71,Excellent,J,VS2,1705
1213,0.7,Excellent,F,SI2,1732
1213,0.7,Excellent,H,SI1,1732
1215,0.8,Excellent,J,SI1,1518
1215,0.8,Excellent,J,SI1,1518
1216,0.7,Excellent,I,SI1,1737
1217,0.7,Excellent,K,VS2,1738
1218,0.7,Excellent,K,VVS1,1740
1218,0.7,Excellent,I,SI1,1740
1218,0.7,Excellent,F,SI2,1740
1219,0.7,Excellent,K,IF,1741
1220,0.8,Excellent,K,SI2,1525
1220,0.72,Excellent,G,SI2,1694
1220,0.72,Excellent,I,VS2,1694
1221,0.71,Excellent,J,VS2,1719
1222,0.7,Good,G,VS2,1745
1222,0.7,Excellent,D,SI1,1745
1224,0.7,Excellent,I,SI1,1748
1226,0.72,Excellent,L,VVS1,1702
1229,0.7,Excellent,H,SI2,1755
1229,0.7,Excellent,D,SI2,1755
1231,0.8,Excellent,G,SI2,1538
1231,0.71,Excellent,I,SI1,1733
1232,0.7,Excellent,J,SI1,1760
1232,0.7,Excellent,I,SI1,1760
1236,0.72,Excellent,E,SI2,1716
1238,0.75,Excellent,K,VS2,1650
1241,0.7,Excellent,J,VS2,1772
1244,0.7,Excellent,J,VVS2,1777
1245,0.8,Excellent,J,VS1,1556
1245,0.7,Excellent,J,VS2,1778
1245,0.7,Excellent,K,VS2,1778
1248,0.7,Excellent,F,SI2,1782
1248,0.7,Excellent,D,SI1,1782
1249,0.7,Excellent,L,VVS1,1784
1252,0.7,Excellent,K,VS1,1788
1256,0.77,Excellent,J,SI1,1631
1256,0.7,Excellent,D,SI1,1794
1257,0.75,Excellent,H,SI2,1676
1258,0.7,Excellent,D,SI2,1797
1260,0.72,Excellent,K,VS1,1750
1264,0.71,Good,I,VS2,1780
1264,0.82,Excellent,L,IF,1541
1267,0.71,Excellent,J,VS2,1784
1267,0.7,Excellent,G,SI2,1810
1268,0.8,Excellent,G,SI2,1585
1269,0.8,Excellent,L,VS2,1586
1270,0.8,Excellent,K,SI1,1587
1270,0.7,Good,I,VS2,1814
1271,0.81,Excellent,K,VS2,1569
1271,0.7,Excellent,F,VS1,1815
1275,0.7,Excellent,G,SI1,1821
1276,0.7,Excellent,L,VS2,1822
1277,0.7,Excellent,I,SI1,1824
1277,0.7,Excellent,H,VS2,1824
1279,0.7,Excellent,I,SI1,1827
1279,0.73,Excellent,K,VVS1,1752
1279,0.81,Excellent,J,SI2,1579
1280,0.82,Excellent,K,I1,1560
1282,0.7,Excellent,H,SI1,1831
